source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD002509-2014_04_14_Prep_4_OMV_A_actino_Serotype_e_no1	Aggregatibacter actinomycetemcomitans	not available	1	not available	not available	not available	2014_04_14_Prep_4_OMV_A_actino_Serotype_e_no1.raw	proteomic profiling by mass spectrometry	1	2014_04_14_Prep_4_OMV_A_actino_Serotype_e_no1.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD002509-2013_05_04_Prep_2_Serotype_e_no1	Aggregatibacter actinomycetemcomitans	not available	2	not available	not available	not available	2013_05_04_Prep_2_Serotype_e_no1.raw	proteomic profiling by mass spectrometry	1	2013_05_04_Prep_2_Serotype_e_no1.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD002509-2013_09_21_Prep_3_Serotype_e_no1	Aggregatibacter actinomycetemcomitans	not available	3	not available	not available	not available	2013_09_21_Prep_3_Serotype_e_no1.raw	proteomic profiling by mass spectrometry	1	2013_09_21_Prep_3_Serotype_e_no1.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD002509-2013_02_08_Prep_1_Serotype_e	Aggregatibacter actinomycetemcomitans	not available	4	not available	not available	not available	2013_02_08_Prep_1_Serotype_e.raw	proteomic profiling by mass spectrometry	1	2013_02_08_Prep_1_Serotype_e.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD002509-2014_05_02_Prep_4_OMV_A_actino_Serotype_e_no1	Aggregatibacter actinomycetemcomitans	not available	5	not available	not available	not available	2014_05_02_Prep_4_OMV_A_actino_Serotype_e_no1.raw	proteomic profiling by mass spectrometry	1	2014_05_02_Prep_4_OMV_A_actino_Serotype_e_no1.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD002509-2013_09_21_Prep_3_Serotype_e_no3	Aggregatibacter actinomycetemcomitans	not available	6	not available	not available	not available	2013_09_21_Prep_3_Serotype_e_no3.raw	proteomic profiling by mass spectrometry	1	2013_09_21_Prep_3_Serotype_e_no3.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD002509-2013_05_04_Prep_2_Serotype_e_no4	Aggregatibacter actinomycetemcomitans	not available	7	not available	not available	not available	2013_05_04_Prep_2_Serotype_e_no4.raw	proteomic profiling by mass spectrometry	1	2013_05_04_Prep_2_Serotype_e_no4.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD002509-2013_05_04_Prep_2_Serotype_e_no2	Aggregatibacter actinomycetemcomitans	not available	8	not available	not available	not available	2013_05_04_Prep_2_Serotype_e_no2.raw	proteomic profiling by mass spectrometry	1	2013_05_04_Prep_2_Serotype_e_no2.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD002509-2013_09_21_Prep_3_Serotype_e_no2	Aggregatibacter actinomycetemcomitans	not available	9	not available	not available	not available	2013_09_21_Prep_3_Serotype_e_no2.raw	proteomic profiling by mass spectrometry	1	2013_09_21_Prep_3_Serotype_e_no2.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD002509-2013_05_04_Prep_2_Serotype_e_no3	Aggregatibacter actinomycetemcomitans	not available	10	not available	not available	not available	2013_05_04_Prep_2_Serotype_e_no3.raw	proteomic profiling by mass spectrometry	1	2013_05_04_Prep_2_Serotype_e_no3.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
