source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[construct]
PXD035624-220321_TID3_CHIR	Homo sapiens	cell culture	1	not available	TID	not available	not available	220321_TID3_CHIR	proteomic profiling by mass spectrometry	1	220321_TID3_CHIR.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TID
PXD035624-220321_FOXQ1_2_CHIR	Homo sapiens	cell culture	2	not available	FOXQ1	not available	not available	220321_FOXQ1_2_CHIR	proteomic profiling by mass spectrometry	1	220321_FOXQ1_2_CHIR.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	FOXQ1
PXD035624-220321_TID1_CHIR	Homo sapiens	cell culture	3	not available	TID	not available	not available	220321_TID1_CHIR	proteomic profiling by mass spectrometry	1	220321_TID1_CHIR.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TID
PXD035624-220321_TID2_CHIR	Homo sapiens	cell culture	4	not available	TID	not available	not available	220321_TID2_CHIR	proteomic profiling by mass spectrometry	1	220321_TID2_CHIR.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TID
PXD035624-220321_FOXQ1_3_CHIR	Homo sapiens	cell culture	5	not available	FOXQ1	not available	not available	220321_FOXQ1_3_CHIR	proteomic profiling by mass spectrometry	1	220321_FOXQ1_3_CHIR.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	FOXQ1
PXD035624-220321_FOXQ1_1_CHIR	Homo sapiens	cell culture	6	not available	FOXQ1	not available	not available	220321_FOXQ1_1_CHIR	proteomic profiling by mass spectrometry	1	220321_FOXQ1_1_CHIR.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	FOXQ1
