source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample class]	factor value[gefitinib exposure]	factor value[TMT set]	factor value[HiRIEF pH range]
tonsil sample 1	Homo sapiens	tonsil	not applicable	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	50	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 2	3.7-4.9
liver sample 1	Homo sapiens	liver	not applicable	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	50	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 2	3.7-4.9
liver sample 2	Homo sapiens	liver	not applicable	2	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	50	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 2	3.7-4.9
kidney sample 1	Homo sapiens	kidney	not applicable	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	50	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 2	3.7-4.9
kidney sample 2	Homo sapiens	kidney	not applicable	2	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	50	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 2	3.7-4.9
testis sample 1	Homo sapiens	testis	not applicable	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50_129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	50	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 2	3.7-4.9
testis sample 2	Homo sapiens	testis	not applicable	2	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	50	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 2	3.7-4.9
testis sample 3	Homo sapiens	testis	not applicable	3	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	50	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 2	3.7-4.9
pooled normal-tissue internal standard	Homo sapiens	placenta, liver, kidney, tonsil, and testis pooled standard	not applicable	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	50	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_37-49_65min_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	internal pooled standard	not applicable	normal tissues set 2	3.7-4.9
tonsil sample 1	Homo sapiens	tonsil	not applicable	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_3-10_65min_fr22_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	22	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_3-10_65min_fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 2	3-10
