source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[organism]	factor value[growth phase]	factor value[HiRIEF pH range]
Phaeobacter (Roseobacter) sp. MED193 multiplexed culture	Phaeobacter (Roseobacter) sp. MED193	cell culture	1	Rui_JPDM13-18_Marine-bact_TMT_200ug_IPG3-10_fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10	1	Rui_JPDM13-18_Marine-bact_TMT_200ug_IPG3-10_fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Phaeobacter (Roseobacter) sp. MED193	not available	3-10
Phaeobacter (Roseobacter) sp. MED193 multiplexed culture	Phaeobacter (Roseobacter) sp. MED193	cell culture	1	Rui_JPDM13-18_Marine-bact_TMT_200ug_IPG3-10_fr47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	47	1	Rui_JPDM13-18_Marine-bact_TMT_200ug_IPG3-10_fr47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Phaeobacter (Roseobacter) sp. MED193	not available	3-10
Phaeobacter (Roseobacter) sp. MED193 multiplexed culture	Phaeobacter (Roseobacter) sp. MED193	cell culture	1	Rui_JPDM13-18_Marine-bact_TMT_200ug_IPG3-10_fr65	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	65	1	Rui_JPDM13-18_Marine-bact_TMT_200ug_IPG3-10_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Phaeobacter (Roseobacter) sp. MED193	not available	3-10
Dokdonia sp. MED134 multiplexed culture	Dokdonia sp. MED134	cell culture	1	Rui_JPDM07-12_Marine-bact_TMT_200ug_IPG3-10_fr42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	Rui_JPDM07-12_Marine-bact_TMT_200ug_IPG3-10_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Dokdonia sp. MED134	not available	3-10
Neptuniibacter sp. MED92 multiplexed culture	Neptuniibacter sp. MED92	cell culture	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	19	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Neptuniibacter sp. MED92	not available	3-10
Neptuniibacter sp. MED92 multiplexed culture	Neptuniibacter sp. MED92	cell culture	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Neptuniibacter sp. MED92	not available	3-10
Phaeobacter (Roseobacter) sp. MED193 multiplexed culture	Phaeobacter (Roseobacter) sp. MED193	cell culture	1	Rui_JPDM13-18_Marine-bact_TMT_200ug_IPG3-10_fr03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	Rui_JPDM13-18_Marine-bact_TMT_200ug_IPG3-10_fr03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Phaeobacter (Roseobacter) sp. MED193	not available	3-10
Neptuniibacter sp. MED92 multiplexed culture	Neptuniibacter sp. MED92	cell culture	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Neptuniibacter sp. MED92	not available	3-10
Neptuniibacter sp. MED92 multiplexed culture	Neptuniibacter sp. MED92	cell culture	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr59	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	59	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr59.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Neptuniibacter sp. MED92	not available	3-10
Neptuniibacter sp. MED92 multiplexed culture	Neptuniibacter sp. MED92	cell culture	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	28	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Neptuniibacter sp. MED92	not available	3-10
