source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[HCF-1::GFP transgene]
Caenorhabditis-elegans-IU171-HCF-1-GFP	Caenorhabditis elegans	not applicable	1	IU171	112009tcriu171gbpsolndig	proteomic profiling by mass spectrometry	1	112009tcriu171gbpsolndig.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	present
Caenorhabditis-elegans-N2	Caenorhabditis elegans	not applicable	1	N2	112009tcrn2gbpsolndig	proteomic profiling by mass spectrometry	1	112009tcrn2gbpsolndig.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	absent
