source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD033056-201117_2T	Homo sapiens	cell culture	1	not available	not available	201117_2T	proteomic profiling by mass spectrometry	1	201117_2T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD033056-201117_7T	Homo sapiens	cell culture	2	not available	not available	201117_7T	proteomic profiling by mass spectrometry	1	201117_7T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD033056-201117_4T	Homo sapiens	cell culture	3	not available	not available	201117_4T	proteomic profiling by mass spectrometry	1	201117_4T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD033056-201117_8T	Homo sapiens	cell culture	4	not available	not available	201117_8T	proteomic profiling by mass spectrometry	1	201117_8T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD033056-201117_9T	Homo sapiens	cell culture	5	not available	not available	201117_9T	proteomic profiling by mass spectrometry	1	201117_9T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD033056-201117_11	Homo sapiens	cell culture	6	not available	not available	201117_11	proteomic profiling by mass spectrometry	1	201117_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD033056-201117_10	Homo sapiens	cell culture	7	not available	not available	201117_10	proteomic profiling by mass spectrometry	1	201117_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD033056-201117_5T	Homo sapiens	cell culture	8	not available	not available	201117_5T	proteomic profiling by mass spectrometry	1	201117_5T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD033056-201117_12	Homo sapiens	cell culture	9	not available	not available	201117_12	proteomic profiling by mass spectrometry	1	201117_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD033056-201117_6T	Homo sapiens	cell culture	10	not available	not available	201117_6T	proteomic profiling by mass spectrometry	1	201117_6T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD033056-201117_3T	Homo sapiens	cell culture	11	not available	not available	201117_3T	proteomic profiling by mass spectrometry	1	201117_3T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD033056-201117_1T	Homo sapiens	cell culture	12	not available	not available	201117_1T	proteomic profiling by mass spectrometry	1	201117_1T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
