source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD058468-S00093_Exploris01_SZ_B314_ctl_1_20230601172045	Homo sapiens	Cell culture	1	not available	not available	not available	S00093_Exploris01_SZ_B314_ctl_1_20230601172045	proteomic profiling by mass spectrometry	1	S00093_Exploris01_SZ_B314_ctl_1_20230601172045.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00074_Exploris01_SZ_B288_ctl3	Homo sapiens	Cell culture	2	not available	not available	not available	S00074_Exploris01_SZ_B288_ctl3	proteomic profiling by mass spectrometry	1	S00074_Exploris01_SZ_B288_ctl3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00074_Exploris01_SZ_B309_ctl1	Homo sapiens	Cell culture	3	not available	not available	not available	S00074_Exploris01_SZ_B309_ctl1	proteomic profiling by mass spectrometry	1	S00074_Exploris01_SZ_B309_ctl1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00093_Exploris01_SZ_B315_ctl_1_20230603004606	Homo sapiens	Cell culture	4	not available	not available	not available	S00093_Exploris01_SZ_B315_ctl_1_20230603004606	proteomic profiling by mass spectrometry	1	S00093_Exploris01_SZ_B315_ctl_1_20230603004606.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00074_Exploris01_SZ_B288_ctl2	Homo sapiens	Cell culture	5	not available	not available	not available	S00074_Exploris01_SZ_B288_ctl2	proteomic profiling by mass spectrometry	1	S00074_Exploris01_SZ_B288_ctl2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00093_Exploris01_SZ_B314_ctl_2_20230601192459	Homo sapiens	Cell culture	6	not available	not available	not available	S00093_Exploris01_SZ_B314_ctl_2_20230601192459	proteomic profiling by mass spectrometry	1	S00093_Exploris01_SZ_B314_ctl_2_20230601192459.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00093_Exploris01_SZ_B314_ctl_3_20230601212909	Homo sapiens	Cell culture	7	not available	not available	not available	S00093_Exploris01_SZ_B314_ctl_3_20230601212909	proteomic profiling by mass spectrometry	1	S00093_Exploris01_SZ_B314_ctl_3_20230601212909.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00074_Exploris01_SZ_B302_ctl1	Homo sapiens	Cell culture	8	not available	not available	not available	S00074_Exploris01_SZ_B302_ctl1	proteomic profiling by mass spectrometry	1	S00074_Exploris01_SZ_B302_ctl1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00093_Exploris01_SZ_B315_ctl_3_20230603045429	Homo sapiens	Cell culture	9	not available	not available	not available	S00093_Exploris01_SZ_B315_ctl_3_20230603045429	proteomic profiling by mass spectrometry	1	S00093_Exploris01_SZ_B315_ctl_3_20230603045429.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00074_Exploris01_SZ_B309_ctl2	Homo sapiens	Cell culture	10	not available	not available	not available	S00074_Exploris01_SZ_B309_ctl2	proteomic profiling by mass spectrometry	1	S00074_Exploris01_SZ_B309_ctl2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00074_Exploris01_SZ_B302_ctl3	Homo sapiens	Cell culture	11	not available	not available	not available	S00074_Exploris01_SZ_B302_ctl3	proteomic profiling by mass spectrometry	1	S00074_Exploris01_SZ_B302_ctl3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00093_Exploris01_SZ_B315_ctl_2_20230603025018	Homo sapiens	Cell culture	12	not available	not available	not available	S00093_Exploris01_SZ_B315_ctl_2_20230603025018	proteomic profiling by mass spectrometry	1	S00093_Exploris01_SZ_B315_ctl_2_20230603025018.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00074_Exploris01_SZ_B309_ctl3	Homo sapiens	Cell culture	13	not available	not available	not available	S00074_Exploris01_SZ_B309_ctl3	proteomic profiling by mass spectrometry	1	S00074_Exploris01_SZ_B309_ctl3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00074_Exploris01_SZ_B302_ctl2	Homo sapiens	Cell culture	14	not available	not available	not available	S00074_Exploris01_SZ_B302_ctl2	proteomic profiling by mass spectrometry	1	S00074_Exploris01_SZ_B302_ctl2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD058468-S00074_Exploris01_SZ_B288_ctl1	Homo sapiens	Cell culture	15	not available	not available	not available	S00074_Exploris01_SZ_B288_ctl1	proteomic profiling by mass spectrometry	1	S00074_Exploris01_SZ_B288_ctl1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
