source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD023826-2013-05-31_BIO_G1223	Populus tremula x populus tremuloides	Wood	1	not available	not available	not available	2013-05-31_BIO_G1223.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1223.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_WT9	Populus tremula x populus tremuloides	Wood	2	not available	not available	not available	2013-05-31_BIO_WT9.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_WT9.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1224-2	Populus tremula x populus tremuloides	Wood	3	not available	not available	not available	2013-05-31_BIO_G1224-2.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1224-2.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1222-2	Populus tremula x populus tremuloides	Wood	4	not available	not available	not available	2013-05-31_BIO_G1222-2.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1222-2.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_WT19-2	Populus tremula x populus tremuloides	Wood	5	not available	not available	not available	2013-05-31_BIO_WT19-2.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_WT19-2.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1222-1	Populus tremula x populus tremuloides	Wood	6	not available	not available	not available	2013-05-31_BIO_G1222-1.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1222-1.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1225-2	Populus tremula x populus tremuloides	Wood	7	not available	not available	not available	2013-05-31_BIO_G1225-2.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1225-2.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1214-1	Populus tremula x populus tremuloides	Wood	8	not available	not available	not available	2013-05-31_BIO_G1214-1.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1214-1.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1232-2	Populus tremula x populus tremuloides	Wood	9	not available	not available	not available	2013-05-31_BIO_G1232-2.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1232-2.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1224-1	Populus tremula x populus tremuloides	Wood	10	not available	not available	not available	2013-05-31_BIO_G1224-1.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1224-1.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_WT29-2	Populus tremula x populus tremuloides	Wood	11	not available	not available	not available	2013-05-31_BIO_WT29-2.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_WT29-2.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1231	Populus tremula x populus tremuloides	Wood	12	not available	not available	not available	2013-05-31_BIO_G1231.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1231.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_WT25-1	Populus tremula x populus tremuloides	Wood	13	not available	not available	not available	2013-05-31_BIO_WT25-1.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_WT25-1.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1232-1	Populus tremula x populus tremuloides	Wood	14	not available	not available	not available	2013-05-31_BIO_G1232-1.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1232-1.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1211-1	Populus tremula x populus tremuloides	Wood	15	not available	not available	not available	2013-05-31_BIO_G1211-1.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1211-1.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_WT14-1	Populus tremula x populus tremuloides	Wood	16	not available	not available	not available	2013-05-31_BIO_WT14-1.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_WT14-1.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1225-1	Populus tremula x populus tremuloides	Wood	17	not available	not available	not available	2013-05-31_BIO_G1225-1.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1225-1.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_WT39	Populus tremula x populus tremuloides	Wood	18	not available	not available	not available	2013-05-31_BIO_WT39.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_WT39.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1222	Populus tremula x populus tremuloides	Wood	19	not available	not available	not available	2013-05-31_BIO_G1222.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1222.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1233	Populus tremula x populus tremuloides	Wood	20	not available	not available	not available	2013-05-31_BIO_G1233.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1233.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD023826-2013-05-31_BIO_G1232	Populus tremula x populus tremuloides	Wood	21	not available	not available	not available	2013-05-31_BIO_G1232.raw	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_G1232.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
