source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[treatment]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[treatment]
PXD013227-190117_Replicate2_37T	Homo sapiens	cell culture	16		not available	not available	190117_Replicate2_37T	proteomic profiling by mass spectrometry	1	190117_Replicate2_37T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190110_Replicate1_37C_20	Homo sapiens	cell culture	17	control	not available	not available	190110_Replicate1_37C_20	proteomic profiling by mass spectrometry	1	190110_Replicate1_37C_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	control
PXD013227-190117_Replicate2_42T	Homo sapiens	cell culture	18		not available	not available	190117_Replicate2_42T	proteomic profiling by mass spectrometry	1	190117_Replicate2_42T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190117_Replicate2_67T	Homo sapiens	cell culture	19		not available	not available	190117_Replicate2_67T	proteomic profiling by mass spectrometry	1	190117_Replicate2_67T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190117_Replicate2_62C	Homo sapiens	cell culture	20		not available	not available	190117_Replicate2_62C	proteomic profiling by mass spectrometry	1	190117_Replicate2_62C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190110_Replicate1_42T_20	Homo sapiens	cell culture	21	treated	not available	not available	190110_Replicate1_42T_20	proteomic profiling by mass spectrometry	1	190110_Replicate1_42T_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	treated
PXD013227-190110_Replicate2_62T_20	Homo sapiens	cell culture	22	treated	not available	not available	190110_Replicate2_62T_20	proteomic profiling by mass spectrometry	1	190110_Replicate2_62T_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	treated
PXD013227-180703_Replicate1_62C	Homo sapiens	cell culture	23		not available	not available	180703_Replicate1_62C	proteomic profiling by mass spectrometry	1	180703_Replicate1_62C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190117_Replicate2_42C	Homo sapiens	cell culture	24		not available	not available	190117_Replicate2_42C	proteomic profiling by mass spectrometry	1	190117_Replicate2_42C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-180703_Replicate1_67T	Homo sapiens	cell culture	25		not available	not available	180703_Replicate1_67T	proteomic profiling by mass spectrometry	1	180703_Replicate1_67T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190110_Replicate1_57C_20	Homo sapiens	cell culture	26	control	not available	not available	190110_Replicate1_57C_20	proteomic profiling by mass spectrometry	1	190110_Replicate1_57C_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	control
PXD013227-190110_Replicate1_52T_20	Homo sapiens	cell culture	27	treated	not available	not available	190110_Replicate1_52T_20	proteomic profiling by mass spectrometry	1	190110_Replicate1_52T_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	treated
