source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[iTRAQ pool]	factor value[HiRIEF pH range]
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	40	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	43	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr52	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	52	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr59	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	59	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr59.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr62	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	62	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr62.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr64	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	64	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr64.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool2_pool2	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	2	Sanela_2013apr23_pool2_100ug_IPG400-425_fr01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Sanela_2013apr23_pool2_100ug_IPG400-425_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool2_pool2	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool2_pool2	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	2	Sanela_2013apr23_pool2_100ug_IPG400-425_fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	11	1	Sanela_2013apr23_pool2_100ug_IPG400-425_fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool2_pool2	IPG400-425
