source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample]	factor value[D labeling time]
Hemoglobin_1	Bos taurus	not applicable	1	20220326_HB_PEPTIC_UDMSE_1	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Pepsin;AC=MS:1001313	1	1	20220326_HB_PEPTIC_UDMSE_1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Hemoglobin	0
Hemoglobin_2	Bos taurus	not applicable	2	20220228_HB_PEPTIC_UDMSE_1	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Pepsin;AC=MS:1001313	1	1	20220228_HB_PEPTIC_UDMSE_1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Hemoglobin	0
