source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD000411-D7S327_no2_C1_01_1262_second_analysis	Aggregatibacter actinomycetemcomitans	not available	1	not available	not available	not available	D7S327_no2_C1_01_1262_second_analysis.d	proteomic profiling by mass spectrometry	1	D7S327_no2_C1_01_1262_second_analysis.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCTultra ETD II;AC=MS:1000700	not applicable	label free sample	1
PXD000411-D7S322_B4_01_1164_first_analysis	Aggregatibacter actinomycetemcomitans	not available	2	not available	not available	not available	D7S322_B4_01_1164_first_analysis.d	proteomic profiling by mass spectrometry	1	D7S322_B4_01_1164_first_analysis.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCTultra ETD II;AC=MS:1000700	not applicable	label free sample	1
PXD000411-D7S224_no2_A4_01_1343_second_analysis	Aggregatibacter actinomycetemcomitans	not available	3	not available	not available	not available	D7S224_no2_A4_01_1343_second_analysis.d	proteomic profiling by mass spectrometry	1	D7S224_no2_A4_01_1343_second_analysis.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCTultra ETD II;AC=MS:1000700	not applicable	label free sample	1
PXD000411-D7S311_no2_B5_01_1304_second_analysis	Aggregatibacter actinomycetemcomitans	not available	4	not available	not available	not available	D7S311_no2_B5_01_1304_second_analysis.d	proteomic profiling by mass spectrometry	1	D7S311_no2_B5_01_1304_second_analysis.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCTultra ETD II;AC=MS:1000700	not applicable	label free sample	1
PXD000411-D7S339_A6_01_1203_first_analysis	Aggregatibacter actinomycetemcomitans	not available	5	not available	not available	not available	D7S339_A6_01_1203_first_analysis.d	proteomic profiling by mass spectrometry	1	D7S339_A6_01_1203_first_analysis.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCTultra ETD II;AC=MS:1000700	not applicable	label free sample	1
PXD000411-D7S324_B6_01_1166_first_analysis	Aggregatibacter actinomycetemcomitans	not available	6	not available	not available	not available	D7S324_B6_01_1166_first_analysis.d	proteomic profiling by mass spectrometry	1	D7S324_B6_01_1166_first_analysis.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCTultra ETD II;AC=MS:1000700	not applicable	label free sample	1
PXD000411-D7S206_A6_01_794_first_analysis	Aggregatibacter actinomycetemcomitans	not available	7	not available	not available	not available	D7S206_A6_01_794_first_analysis.d	proteomic profiling by mass spectrometry	1	D7S206_A6_01_794_first_analysis.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCTultra ETD II;AC=MS:1000700	not applicable	label free sample	1
PXD000411-D7S240_B4_01_814_first_analysis	Aggregatibacter actinomycetemcomitans	not available	8	not available	not available	not available	D7S240_B4_01_814_first_analysis.d	proteomic profiling by mass spectrometry	1	D7S240_B4_01_814_first_analysis.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCTultra ETD II;AC=MS:1000700	not applicable	label free sample	1
PXD000411-D7S340_B1_01_1204_first_analysis	Aggregatibacter actinomycetemcomitans	not available	9	not available	not available	not available	D7S340_B1_01_1204_first_analysis.d	proteomic profiling by mass spectrometry	1	D7S340_B1_01_1204_first_analysis.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCTultra ETD II;AC=MS:1000700	not applicable	label free sample	1
PXD000411-D7S345_no2_B5_01_1258_second_analysis	Aggregatibacter actinomycetemcomitans	not available	10	not available	not available	not available	D7S345_no2_B5_01_1258_second_analysis.d	proteomic profiling by mass spectrometry	1	D7S345_no2_B5_01_1258_second_analysis.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCTultra ETD II;AC=MS:1000700	not applicable	label free sample	1
