source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]
InnerEpidermis_L_NL_H	Homo sapiens	inner epidermis	not available	1	study sample	not available	tissue	InnerEpidermis_L_NL_H.zip	proteomic profiling by mass spectrometry	1	InnerEpidermis_L_NL_H.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
OuterEpidermis_L_NL_H	Homo sapiens	outer epidermis	not available	1	study sample	not available	tissue	OuterEpidermis_L_NL_H.zip	proteomic profiling by mass spectrometry	1	OuterEpidermis_L_NL_H.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
Dermis_L_NL_H	Homo sapiens	dermis	not available	1	study sample	not available	tissue	Dermis_L_NL_H.zip	proteomic profiling by mass spectrometry	1	Dermis_L_NL_H.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
Subcutis_L_NL_H	Homo sapiens	subcutis	not available	1	study sample	not available	tissue	Subcutis_L_NL_H.zip	proteomic profiling by mass spectrometry	1	Subcutis_L_NL_H.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
DeepSkin_library	Homo sapiens	skin	not available	1	study sample	not available	tissue	DeepSkin_library.tsv	proteomic profiling by mass spectrometry	1	DeepSkin_library.tsv	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
