source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD006301-2016_11_22_G_theta_LL2_S1_to_S3	Guillardia theta ccmp2712	Photosynthetic cell	1	not available	not available	not available	2016_11_22_G_theta_LL2_S1_to_S3.raw	proteomic profiling by mass spectrometry	1	2016_11_22_G_theta_LL2_S1_to_S3.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD006301-2016_11_22_G_theta_NL1_S1_to_S3	Guillardia theta ccmp2712	Photosynthetic cell	2	not available	not available	not available	2016_11_22_G_theta_NL1_S1_to_S3.raw	proteomic profiling by mass spectrometry	1	2016_11_22_G_theta_NL1_S1_to_S3.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD006301-2016_11_22_G_theta_HL2_S1_to_S3	Guillardia theta ccmp2712	Photosynthetic cell	3	not available	not available	not available	2016_11_22_G_theta_HL2_S1_to_S3.raw	proteomic profiling by mass spectrometry	1	2016_11_22_G_theta_HL2_S1_to_S3.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD006301-2016_11_22_G_theta_LL5_S1_to_S3	Guillardia theta ccmp2712	Photosynthetic cell	4	not available	not available	not available	2016_11_22_G_theta_LL5_S1_to_S3.raw	proteomic profiling by mass spectrometry	1	2016_11_22_G_theta_LL5_S1_to_S3.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD006301-2016_11_22_G_theta_NL5_S1_to_S3	Guillardia theta ccmp2712	Photosynthetic cell	5	not available	not available	not available	2016_11_22_G_theta_NL5_S1_to_S3.raw	proteomic profiling by mass spectrometry	1	2016_11_22_G_theta_NL5_S1_to_S3.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD006301-2016_11_22_G_theta_NL2_S1_to_S3	Guillardia theta ccmp2712	Photosynthetic cell	6	not available	not available	not available	2016_11_22_G_theta_NL2_S1_to_S3.raw	proteomic profiling by mass spectrometry	1	2016_11_22_G_theta_NL2_S1_to_S3.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD006301-2016_11_22_G_theta_HL1_S1_to_S3	Guillardia theta ccmp2712	Photosynthetic cell	7	not available	not available	not available	2016_11_22_G_theta_HL1_S1_to_S3.raw	proteomic profiling by mass spectrometry	1	2016_11_22_G_theta_HL1_S1_to_S3.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD006301-2016_11_22_G_theta_LL1_S1_to_S3	Guillardia theta ccmp2712	Photosynthetic cell	8	not available	not available	not available	2016_11_22_G_theta_LL1_S1_to_S3.raw	proteomic profiling by mass spectrometry	1	2016_11_22_G_theta_LL1_S1_to_S3.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD006301-2016_11_22_G_theta_LL4_S1_to_S3	Guillardia theta ccmp2712	Photosynthetic cell	9	not available	not available	not available	2016_11_22_G_theta_LL4_S1_to_S3.raw	proteomic profiling by mass spectrometry	1	2016_11_22_G_theta_LL4_S1_to_S3.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD006301-2016_11_22_G_theta_LL3_S1_to_S3	Guillardia theta ccmp2712	Photosynthetic cell	10	not available	not available	not available	2016_11_22_G_theta_LL3_S1_to_S3.raw	proteomic profiling by mass spectrometry	1	2016_11_22_G_theta_LL3_S1_to_S3.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt MS;AC=MS:1001782	NT=Trypsin;AC=MS:1001251	label free sample	1
