source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted sample id]
Xenopus oocyte submitted sample S3	Xenopus laevis	oocyte	3	OR13_20160725_HP_Merlijn_S3B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	B	1	OR13_20160725_HP_Merlijn_S3B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
Xenopus oocyte submitted sample S3	Xenopus laevis	oocyte	3	OR13_20160725_HP_Merlijn_S3C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	C	1	OR13_20160725_HP_Merlijn_S3C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
Xenopus oocyte submitted sample S4	Xenopus laevis	oocyte	4	OR13_20160725_HP_Merlijn_S4A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	A	1	OR13_20160725_HP_Merlijn_S4A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S4
Xenopus oocyte submitted sample S4	Xenopus laevis	oocyte	4	OR13_20160725_HP_Merlijn_S4B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	B	1	OR13_20160725_HP_Merlijn_S4B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S4
Xenopus oocyte submitted sample S4	Xenopus laevis	oocyte	4	OR13_20160725_HP_Merlijn_S4C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	C	1	OR13_20160725_HP_Merlijn_S4C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S4
Xenopus oocyte submitted sample S4	Xenopus laevis	oocyte	4	OR13_20160815_HP_Merlijn_S4A_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	A	2	OR13_20160815_HP_Merlijn_S4A_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S4
Xenopus oocyte submitted sample S4	Xenopus laevis	oocyte	4	OR13_20160815_HP_Merlijn_S4B_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	B	2	OR13_20160815_HP_Merlijn_S4B_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S4
Xenopus oocyte submitted sample S4	Xenopus laevis	oocyte	4	OR13_20160815_HP_Merlijn_S4C_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	C	2	OR13_20160815_HP_Merlijn_S4C_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S4
Xenopus oocyte submitted sample S5	Xenopus laevis	oocyte	5	OR13_20160725_HP_Merlijn_S5A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	A	1	OR13_20160725_HP_Merlijn_S5A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S5
Xenopus oocyte submitted sample S5	Xenopus laevis	oocyte	5	OR13_20160725_HP_Merlijn_S5B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	B	1	OR13_20160725_HP_Merlijn_S5B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S5
Xenopus oocyte submitted sample S5	Xenopus laevis	oocyte	5	OR13_20160725_HP_Merlijn_S5C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	C	1	OR13_20160725_HP_Merlijn_S5C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S5
Xenopus oocyte submitted sample S6	Xenopus laevis	oocyte	6	OR13_20160725_HP_Merlijn_S6A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	A	1	OR13_20160725_HP_Merlijn_S6A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S6
Xenopus oocyte submitted sample S6	Xenopus laevis	oocyte	6	OR13_20160725_HP_Merlijn_S6B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	B	1	OR13_20160725_HP_Merlijn_S6B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S6
Xenopus oocyte submitted sample S6	Xenopus laevis	oocyte	6	OR13_20160725_HP_Merlijn_S6C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	C	1	OR13_20160725_HP_Merlijn_S6C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S6
Xenopus oocyte submitted sample S6	Xenopus laevis	oocyte	6	OR13_20160815_HP_Merlijn_S6A_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	A	2	OR13_20160815_HP_Merlijn_S6A_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S6
Xenopus oocyte submitted sample S6	Xenopus laevis	oocyte	6	OR13_20160815_HP_Merlijn_S6B_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	B	2	OR13_20160815_HP_Merlijn_S6B_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S6
Xenopus oocyte submitted sample S6	Xenopus laevis	oocyte	6	OR13_20160815_HP_Merlijn_S6C_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	C	2	OR13_20160815_HP_Merlijn_S6C_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S6
