source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[construct]
PXD037153-210311_TPPN2_51	Rattus norvegicus	liver	14	not available	TPPN	adult	not available	210311_TPPN2_51	proteomic profiling by mass spectrometry	1	210311_TPPN2_51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210311_TPPN1_37	Rattus norvegicus	liver	15	not available	TPPN	adult	not available	210311_TPPN1_37	proteomic profiling by mass spectrometry	1	210311_TPPN1_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210311_TPPN2_55	Rattus norvegicus	liver	16	not available	TPPN	adult	not available	210311_TPPN2_55	proteomic profiling by mass spectrometry	1	210311_TPPN2_55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210311_TPPDII2_46	Rattus norvegicus	liver	17	not available	TPPDII	adult	not available	210311_TPPDII2_46	proteomic profiling by mass spectrometry	1	210311_TPPDII2_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210311_TPPDII1_62	Rattus norvegicus	liver	18	not available	TPPDII	adult	not available	210311_TPPDII1_62	proteomic profiling by mass spectrometry	1	210311_TPPDII1_62.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210316_TPPDI2_67	Rattus norvegicus	liver	19	not available	TPPDI	adult	not available	210316_TPPDI2_67	proteomic profiling by mass spectrometry	1	210316_TPPDI2_67.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210311_TPPN1_62	Rattus norvegicus	liver	20	not available	TPPN	adult	not available	210311_TPPN1_62	proteomic profiling by mass spectrometry	1	210311_TPPN1_62.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210309_SDI2	Rattus norvegicus	liver	21	not available	SDI	adult	not available	210309_SDI2	proteomic profiling by mass spectrometry	1	210309_SDI2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	SDI
PXD037153-210316_TPPDI1_58	Rattus norvegicus	liver	22	not available	TPPDI	adult	not available	210316_TPPDI1_58	proteomic profiling by mass spectrometry	1	210316_TPPDI1_58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210309_SDII3	Rattus norvegicus	liver	23	not available	SDII	adult	not available	210309_SDII3	proteomic profiling by mass spectrometry	1	210309_SDII3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	SDII
PXD037153-210311_TPPDII2_42	Rattus norvegicus	liver	24	not available	TPPDII	adult	not available	210311_TPPDII2_42	proteomic profiling by mass spectrometry	1	210311_TPPDII2_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210316_TPPDI2_58	Rattus norvegicus	liver	25	not available	TPPDI	adult	not available	210316_TPPDI2_58	proteomic profiling by mass spectrometry	1	210316_TPPDI2_58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210311_TPPN2_49	Rattus norvegicus	liver	26	not available	TPPN	adult	not available	210311_TPPN2_49	proteomic profiling by mass spectrometry	1	210311_TPPN2_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210316_TPPDI1_53	Rattus norvegicus	liver	27	not available	TPPDI	adult	not available	210316_TPPDI1_53	proteomic profiling by mass spectrometry	1	210316_TPPDI1_53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210311_TPPDII1_37	Rattus norvegicus	liver	28	not available	TPPDII	adult	not available	210311_TPPDII1_37	proteomic profiling by mass spectrometry	1	210311_TPPDII1_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210311_TPPDII2_53	Rattus norvegicus	liver	29	not available	TPPDII	adult	not available	210311_TPPDII2_53	proteomic profiling by mass spectrometry	1	210311_TPPDII2_53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210311_TPPN1_53	Rattus norvegicus	liver	30	not available	TPPN	adult	not available	210311_TPPN1_53	proteomic profiling by mass spectrometry	1	210311_TPPN1_53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210311_TPPDII1_67	Rattus norvegicus	liver	31	not available	TPPDII	adult	not available	210311_TPPDII1_67	proteomic profiling by mass spectrometry	1	210311_TPPDII1_67.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210311_TPPDII1_49	Rattus norvegicus	liver	32	not available	TPPDII	adult	not available	210311_TPPDII1_49	proteomic profiling by mass spectrometry	1	210311_TPPDII1_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210311_TPPDII2_55	Rattus norvegicus	liver	33	not available	TPPDII	adult	not available	210311_TPPDII2_55	proteomic profiling by mass spectrometry	1	210311_TPPDII2_55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210316_TPPDI1_49	Rattus norvegicus	liver	34	not available	TPPDI	adult	not available	210316_TPPDI1_49	proteomic profiling by mass spectrometry	1	210316_TPPDI1_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210309_SDI3	Rattus norvegicus	liver	35	not available	SDI	adult	not available	210309_SDI3	proteomic profiling by mass spectrometry	1	210309_SDI3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	SDI
PXD037153-210309_PDI3	Rattus norvegicus	liver	36	not available	PDI	adult	not available	210309_PDI3	proteomic profiling by mass spectrometry	1	210309_PDI3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	PDI
PXD037153-210311_TPPDII2_58	Rattus norvegicus	liver	37	not available	TPPDII	adult	not available	210311_TPPDII2_58	proteomic profiling by mass spectrometry	1	210311_TPPDII2_58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210311_TPPN1_67	Rattus norvegicus	liver	38	not available	TPPN	adult	not available	210311_TPPN1_67	proteomic profiling by mass spectrometry	1	210311_TPPN1_67.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210316_TPPDI2_42	Rattus norvegicus	liver	39	not available	TPPDI	adult	not available	210316_TPPDI2_42	proteomic profiling by mass spectrometry	1	210316_TPPDI2_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210311_TPPDII2_49	Rattus norvegicus	liver	40	not available	TPPDII	adult	not available	210311_TPPDII2_49	proteomic profiling by mass spectrometry	1	210311_TPPDII2_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210311_TPPDII1_53	Rattus norvegicus	liver	41	not available	TPPDII	adult	not available	210311_TPPDII1_53	proteomic profiling by mass spectrometry	1	210311_TPPDII1_53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210311_TPPN1_55	Rattus norvegicus	liver	42	not available	TPPN	adult	not available	210311_TPPN1_55	proteomic profiling by mass spectrometry	1	210311_TPPN1_55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210311_TPPN2_42	Rattus norvegicus	liver	43	not available	TPPN	adult	not available	210311_TPPN2_42	proteomic profiling by mass spectrometry	1	210311_TPPN2_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210311_TPPN2_67	Rattus norvegicus	liver	44	not available	TPPN	adult	not available	210311_TPPN2_67	proteomic profiling by mass spectrometry	1	210311_TPPN2_67.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210309_SN1	Rattus norvegicus	liver	45	not available	SN	adult	not available	210309_SN1	proteomic profiling by mass spectrometry	1	210309_SN1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	SN
PXD037153-210311_TPPN1_46	Rattus norvegicus	liver	46	not available	TPPN	adult	not available	210311_TPPN1_46	proteomic profiling by mass spectrometry	1	210311_TPPN1_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210309_SDII2	Rattus norvegicus	liver	47	not available	SDII	adult	not available	210309_SDII2	proteomic profiling by mass spectrometry	1	210309_SDII2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	SDII
PXD037153-210311_TPPDII1_55	Rattus norvegicus	liver	48	not available	TPPDII	adult	not available	210311_TPPDII1_55	proteomic profiling by mass spectrometry	1	210311_TPPDII1_55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210316_TPPDI1_42	Rattus norvegicus	liver	49	not available	TPPDI	adult	not available	210316_TPPDI1_42	proteomic profiling by mass spectrometry	1	210316_TPPDI1_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210311_TPPN1_42	Rattus norvegicus	liver	50	not available	TPPN	adult	not available	210311_TPPN1_42	proteomic profiling by mass spectrometry	1	210311_TPPN1_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210316_TPPDI2_49	Rattus norvegicus	liver	51	not available	TPPDI	adult	not available	210316_TPPDI2_49	proteomic profiling by mass spectrometry	1	210316_TPPDI2_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210311_TPPDII2_62	Rattus norvegicus	liver	52	not available	TPPDII	adult	not available	210311_TPPDII2_62	proteomic profiling by mass spectrometry	1	210311_TPPDII2_62.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210309_PN3	Rattus norvegicus	liver	53	not available	PN	adult	not available	210309_PN3	proteomic profiling by mass spectrometry	1	210309_PN3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	PN
