source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[construct]
PXD037153-210316_TPPDI2_37	Rattus norvegicus	liver	54	not available	TPPDI	adult	not available	210316_TPPDI2_37	proteomic profiling by mass spectrometry	1	210316_TPPDI2_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210311_TPPDII2_51	Rattus norvegicus	liver	55	not available	TPPDII	adult	not available	210311_TPPDII2_51	proteomic profiling by mass spectrometry	1	210311_TPPDII2_51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210309_PN2	Rattus norvegicus	liver	56	not available	PN	adult	not available	210309_PN2	proteomic profiling by mass spectrometry	1	210309_PN2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	PN
PXD037153-210316_TPPDI2_53	Rattus norvegicus	liver	57	not available	TPPDI	adult	not available	210316_TPPDI2_53	proteomic profiling by mass spectrometry	1	210316_TPPDI2_53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210309_SDI1	Rattus norvegicus	liver	58	not available	SDI	adult	not available	210309_SDI1	proteomic profiling by mass spectrometry	1	210309_SDI1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	SDI
PXD037153-210311_TPPDII1_46	Rattus norvegicus	liver	59	not available	TPPDII	adult	not available	210311_TPPDII1_46	proteomic profiling by mass spectrometry	1	210311_TPPDII1_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210311_TPPDII2_37	Rattus norvegicus	liver	60	not available	TPPDII	adult	not available	210311_TPPDII2_37	proteomic profiling by mass spectrometry	1	210311_TPPDII2_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210309_PDI2	Rattus norvegicus	liver	61	not available	PDI	adult	not available	210309_PDI2	proteomic profiling by mass spectrometry	1	210309_PDI2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	PDI
PXD037153-210309_PN1	Rattus norvegicus	liver	62	not available	PN	adult	not available	210309_PN1	proteomic profiling by mass spectrometry	1	210309_PN1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	PN
PXD037153-210311_TPPN2_53	Rattus norvegicus	liver	63	not available	TPPN	adult	not available	210311_TPPN2_53	proteomic profiling by mass spectrometry	1	210311_TPPN2_53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210309_PDII2	Rattus norvegicus	liver	64	not available	PDII	adult	not available	210309_PDII2	proteomic profiling by mass spectrometry	1	210309_PDII2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	PDII
PXD037153-210316_TPPDI1_51	Rattus norvegicus	liver	65	not available	TPPDI	adult	not available	210316_TPPDI1_51	proteomic profiling by mass spectrometry	1	210316_TPPDI1_51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210311_TPPN1_49	Rattus norvegicus	liver	66	not available	TPPN	adult	not available	210311_TPPN1_49	proteomic profiling by mass spectrometry	1	210311_TPPN1_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210311_TPPN2_37	Rattus norvegicus	liver	67	not available	TPPN	adult	not available	210311_TPPN2_37	proteomic profiling by mass spectrometry	1	210311_TPPN2_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210311_TPPDII2_67	Rattus norvegicus	liver	68	not available	TPPDII	adult	not available	210311_TPPDII2_67	proteomic profiling by mass spectrometry	1	210311_TPPDII2_67.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210311_TPPDII1_58	Rattus norvegicus	liver	69	not available	TPPDII	adult	not available	210311_TPPDII1_58	proteomic profiling by mass spectrometry	1	210311_TPPDII1_58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210316_TPPDI2_55	Rattus norvegicus	liver	70	not available	TPPDI	adult	not available	210316_TPPDI2_55	proteomic profiling by mass spectrometry	1	210316_TPPDI2_55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210316_TPPDI1_55	Rattus norvegicus	liver	71	not available	TPPDI	adult	not available	210316_TPPDI1_55	proteomic profiling by mass spectrometry	1	210316_TPPDI1_55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210311_TPPN2_62	Rattus norvegicus	liver	72	not available	TPPN	adult	not available	210311_TPPN2_62	proteomic profiling by mass spectrometry	1	210311_TPPN2_62.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210309_SN3	Rattus norvegicus	liver	73	not available	SN	adult	not available	210309_SN3	proteomic profiling by mass spectrometry	1	210309_SN3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	SN
PXD037153-210309_SDII1	Rattus norvegicus	liver	74	not available	SDII	adult	not available	210309_SDII1	proteomic profiling by mass spectrometry	1	210309_SDII1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	SDII
PXD037153-210309_PDII3	Rattus norvegicus	liver	75	not available	PDII	adult	not available	210309_PDII3	proteomic profiling by mass spectrometry	1	210309_PDII3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	PDII
PXD037153-210316_TPPDI2_46	Rattus norvegicus	liver	76	not available	TPPDI	adult	not available	210316_TPPDI2_46	proteomic profiling by mass spectrometry	1	210316_TPPDI2_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210311_TPPN1_51	Rattus norvegicus	liver	77	not available	TPPN	adult	not available	210311_TPPN1_51	proteomic profiling by mass spectrometry	1	210311_TPPN1_51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210311_TPPN2_46	Rattus norvegicus	liver	78	not available	TPPN	adult	not available	210311_TPPN2_46	proteomic profiling by mass spectrometry	1	210311_TPPN2_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
