source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD072143-600_ng_DIA_NET222_qEV_250120_Slot1-6_1_1950.d	Homo sapiens	blood	12	not available	not available	not available	not available	600_ng_DIA_NET222_qEV_250120_Slot1-6_1_1950.d	proteomic profiling by mass spectrometry	1	600_ng_DIA_NET222_qEV_250120_Slot1-6_1_1950.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_539_250512_Slot1-17_1_2293.d	Homo sapiens	blood	13	not available	not available	not available	not available	600_ng_539_250512_Slot1-17_1_2293.d	proteomic profiling by mass spectrometry	1	600_ng_539_250512_Slot1-17_1_2293.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_222_250512_Slot1-11_1_2284.d	Homo sapiens	blood	14	not available	not available	not available	not available	600_ng_222_250512_Slot1-11_1_2284.d	proteomic profiling by mass spectrometry	1	600_ng_222_250512_Slot1-11_1_2284.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_134_250512_Slot1-10_1_2283.d	Homo sapiens	blood	15	not available	not available	not available	not available	600_ng_134_250512_Slot1-10_1_2283.d	proteomic profiling by mass spectrometry	1	600_ng_134_250512_Slot1-10_1_2283.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_274_250512_Slot1-12_1_2286.d	Homo sapiens	blood	16	not available	not available	not available	not available	600_ng_274_250512_Slot1-12_1_2286.d	proteomic profiling by mass spectrometry	1	600_ng_274_250512_Slot1-12_1_2286.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_335_250512_Slot1-13_1_2287.d	Homo sapiens	blood	17	not available	not available	not available	not available	600_ng_335_250512_Slot1-13_1_2287.d	proteomic profiling by mass spectrometry	1	600_ng_335_250512_Slot1-13_1_2287.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_C3_250512_Slot1-8_1_2280.d	Homo sapiens	blood	18	not available	not available	not available	not available	600_ng_C3_250512_Slot1-8_1_2280.d	proteomic profiling by mass spectrometry	1	600_ng_C3_250512_Slot1-8_1_2280.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_533_250512_Slot1-16_1_2292.d	Homo sapiens	blood	19	not available	not available	not available	not available	600_ng_533_250512_Slot1-16_1_2292.d	proteomic profiling by mass spectrometry	1	600_ng_533_250512_Slot1-16_1_2292.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_DIA_NET274_qEV_1UC_250120_Slot1-12_1_1959.d	Homo sapiens	blood	20	not available	not available	not available	not available	600_ng_DIA_NET274_qEV_1UC_250120_Slot1-12_1_1959.d	proteomic profiling by mass spectrometry	1	600_ng_DIA_NET274_qEV_1UC_250120_Slot1-12_1_1959.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_DIA_NET222_2UC_250120_Slot1-5_1_1949.d	Homo sapiens	blood	21	not available	not available	not available	not available	600_ng_DIA_NET222_2UC_250120_Slot1-5_1_1949.d	proteomic profiling by mass spectrometry	1	600_ng_DIA_NET222_2UC_250120_Slot1-5_1_1949.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_561_250512_Slot1-18_1_2295.d	Homo sapiens	blood	22	not available	not available	not available	not available	600_ng_561_250512_Slot1-18_1_2295.d	proteomic profiling by mass spectrometry	1	600_ng_561_250512_Slot1-18_1_2295.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_C4_250512_Slot1-9_1_2281.d	Homo sapiens	blood	23	not available	not available	not available	not available	600_ng_C4_250512_Slot1-9_1_2281.d	proteomic profiling by mass spectrometry	1	600_ng_C4_250512_Slot1-9_1_2281.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_DIA_NET222_qEV_UC_250120_Slot1-8_1_1953.d	Homo sapiens	blood	24	not available	not available	not available	not available	600_ng_DIA_NET222_qEV_UC_250120_Slot1-8_1_1953.d	proteomic profiling by mass spectrometry	1	600_ng_DIA_NET222_qEV_UC_250120_Slot1-8_1_1953.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_DIA_NET274_qEV_F1-F6_250120_Slot1-10_1_1956.d	Homo sapiens	blood	25	not available	not available	not available	not available	600_ng_DIA_NET274_qEV_F1-F6_250120_Slot1-10_1_1956.d	proteomic profiling by mass spectrometry	1	600_ng_DIA_NET274_qEV_F1-F6_250120_Slot1-10_1_1956.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_514_250512_Slot1-15_1_2290.d	Homo sapiens	blood	26	not available	not available	not available	not available	600_ng_514_250512_Slot1-15_1_2290.d	proteomic profiling by mass spectrometry	1	600_ng_514_250512_Slot1-15_1_2290.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_DIA_NET274_2UC_250120_Slot1-9_1_1955.d	Homo sapiens	blood	27	not available	not available	not available	not available	600_ng_DIA_NET274_2UC_250120_Slot1-9_1_1955.d	proteomic profiling by mass spectrometry	1	600_ng_DIA_NET274_2UC_250120_Slot1-9_1_1955.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
