source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD050925-S00006_Exploris01_AM_XinZhou_2perc_n3	Homo sapiens	Muscle cell	1	not available	not available	not available	S00006_Exploris01_AM_XinZhou_2perc_n3	proteomic profiling by mass spectrometry	1	S00006_Exploris01_AM_XinZhou_2perc_n3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD050925-S00002_Exploris01_AM_XinZhou_Ctrl_n2	Homo sapiens	Muscle cell	2	not available	not available	not available	S00002_Exploris01_AM_XinZhou_Ctrl_n2	proteomic profiling by mass spectrometry	1	S00002_Exploris01_AM_XinZhou_Ctrl_n2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD050925-S00012_Exploris01_AM_XinZhou_10perc_n3	Homo sapiens	Muscle cell	3	not available	not available	not available	S00012_Exploris01_AM_XinZhou_10perc_n3	proteomic profiling by mass spectrometry	1	S00012_Exploris01_AM_XinZhou_10perc_n3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD050925-S00011_Exploris01_AM_XinZhou_10perc_n2	Homo sapiens	Muscle cell	4	not available	not available	not available	S00011_Exploris01_AM_XinZhou_10perc_n2	proteomic profiling by mass spectrometry	1	S00011_Exploris01_AM_XinZhou_10perc_n2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD050925-S00003_Exploris01_AM_XinZhou_Ctrl_n3	Homo sapiens	Muscle cell	5	not available	not available	not available	S00003_Exploris01_AM_XinZhou_Ctrl_n3	proteomic profiling by mass spectrometry	1	S00003_Exploris01_AM_XinZhou_Ctrl_n3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD050925-S00004_Exploris01_AM_XinZhou_2perc_n1	Homo sapiens	Muscle cell	6	not available	not available	not available	S00004_Exploris01_AM_XinZhou_2perc_n1	proteomic profiling by mass spectrometry	1	S00004_Exploris01_AM_XinZhou_2perc_n1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD050925-S00007_Exploris01_AM_XinZhou_5perc_n1	Homo sapiens	Muscle cell	7	not available	not available	not available	S00007_Exploris01_AM_XinZhou_5perc_n1	proteomic profiling by mass spectrometry	1	S00007_Exploris01_AM_XinZhou_5perc_n1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD050925-S00001_Exploris01_AM_XinZhou_Ctrl_n1	Homo sapiens	Muscle cell	8	not available	not available	not available	S00001_Exploris01_AM_XinZhou_Ctrl_n1	proteomic profiling by mass spectrometry	1	S00001_Exploris01_AM_XinZhou_Ctrl_n1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD050925-S00009_Exploris01_AM_XinZhou_5perc_n3	Homo sapiens	Muscle cell	9	not available	not available	not available	S00009_Exploris01_AM_XinZhou_5perc_n3	proteomic profiling by mass spectrometry	1	S00009_Exploris01_AM_XinZhou_5perc_n3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD050925-S00010_Exploris01_AM_XinZhou_10perc_n1	Homo sapiens	Muscle cell	10	not available	not available	not available	S00010_Exploris01_AM_XinZhou_10perc_n1	proteomic profiling by mass spectrometry	1	S00010_Exploris01_AM_XinZhou_10perc_n1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
