source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[cell fraction]
A549 cytosolic fraction submitted sample 19	Homo sapiens	cell culture	A549	19	Sample19_Cytosol__160421_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	2	Sample19_Cytosol__160421_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 cytosolic fraction submitted sample 18	Homo sapiens	cell culture	A549	18	Sample18_Cytosol__160421_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	2	Sample18_Cytosol__160421_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 microsomal fraction submitted sample 23	Homo sapiens	cell culture	A549	23	Sample23_Microsomal_160421_01_160428080823	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160428080823.raw	1	Sample23_Microsomal_160421_01_160428080823.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 cytosolic fraction submitted sample 20	Homo sapiens	cell culture	A549	20	Sample20_Cytosol__160421_04_160423092148	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160423092148.raw	1	Sample20_Cytosol__160421_04_160423092148.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 cytosolic fraction submitted sample 16	Homo sapiens	cell culture	A549	16	Sample16_Cytosol__160421_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	2	Sample16_Cytosol__160421_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 microsomal fraction submitted sample 16	Homo sapiens	cell culture	A549	16	Elena_A549_Microsom_16_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	16	1	Elena_A549_Microsom_16_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 cytosolic fraction submitted sample 16	Homo sapiens	cell culture	A549	16	Sample16_Cytosol__160421_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	3	Sample16_Cytosol__160421_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 cytosolic fraction submitted sample 22	Homo sapiens	cell culture	A549	22	Sample22_Cytosol__160421_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	1	Sample22_Cytosol__160421_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 microsomal fraction submitted sample 17	Homo sapiens	cell culture	A549	17	Sample17_Microsomal_160421_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	2	Sample17_Microsomal_160421_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 23	Homo sapiens	cell culture	A549	23	Sample23_Microsomal_160421_04_160428122913	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160428122913.raw	1	Sample23_Microsomal_160421_04_160428122913.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 21	Homo sapiens	cell culture	A549	21	Sample21_Microsomal_160421_01_160427201102	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160427201102.raw	1	Sample21_Microsomal_160421_01_160427201102.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 cytosolic fraction submitted sample 22	Homo sapiens	cell culture	A549	22	Sample22_Cytosol__160421_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	2	Sample22_Cytosol__160421_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
