source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD001951-B1	Mytilus edulis	blood	1	not available	not available	B1	proteomic profiling by mass spectrometry	1	B1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD001951-hemocyte_proteins_compiled_dbs_1.2	Mytilus edulis	blood	2	not available	not available	hemocyte_proteins_compiled_dbs_1.2	proteomic profiling by mass spectrometry	1	hemocyte_proteins_compiled_dbs_1.2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD001951-A1	Mytilus edulis	blood	3	not available	not available	A1	proteomic profiling by mass spectrometry	1	A1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD001951-B2	Mytilus edulis	blood	4	not available	not available	B2	proteomic profiling by mass spectrometry	1	B2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD001951-38	Mytilus edulis	blood	5	not available	not available	38	proteomic profiling by mass spectrometry	1	38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD001951-sample1_1.1	Mytilus edulis	blood	6	not available	not available	sample1_1.1	proteomic profiling by mass spectrometry	1	sample1_1.1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD001951-sample2_1.1	Mytilus edulis	blood	7	not available	not available	sample2_1.1	proteomic profiling by mass spectrometry	1	sample2_1.1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD001951-37	Mytilus edulis	blood	8	not available	not available	37	proteomic profiling by mass spectrometry	1	37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD001951-39	Mytilus edulis	blood	9	not available	not available	39	proteomic profiling by mass spectrometry	1	39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD001951-A2	Mytilus edulis	blood	10	not available	not available	A2	proteomic profiling by mass spectrometry	1	A2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD001951-plasma_proteins_complied_dbs_1.2	Mytilus edulis	blood	11	not available	not available	plasma_proteins_complied_dbs_1.2	proteomic profiling by mass spectrometry	1	plasma_proteins_complied_dbs_1.2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD001951-40	Mytilus edulis	blood	12	not available	not available	40	proteomic profiling by mass spectrometry	1	40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
