source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[iTRAQ plex]
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	18	1	HJ_HE_Andrii_121019_EXP1_Fr18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr18_121112233744	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	18	2	HJ_HE_Andrii_121019_EXP1_Fr18_121112233744.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	19	1	HJ_HE_Andrii_121019_EXP1_Fr19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	20	1	HJ_HE_Andrii_121019_EXP1_Fr20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	21	1	HJ_HE_Andrii_121019_EXP1_Fr21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	23	1	HJ_HE_Andrii_121019_EXP1_Fr23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	24	1	HJ_HE_Andrii_121019_EXP1_Fr24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	29	1	HJ_HE_Andrii_121019_EXP1_Fr29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	31	1	HJ_HE_Andrii_121019_EXP1_Fr31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	33	1	HJ_HE_Andrii_121019_EXP1_Fr33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
