source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F2	Salmonella enterica subsp. enterica serovar typhimurium	not available	1	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F2	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F5	Salmonella enterica subsp. enterica serovar typhimurium	not available	2	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F5	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F2	Salmonella enterica subsp. enterica serovar typhimurium	not available	3	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F2	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F6	Salmonella enterica subsp. enterica serovar typhimurium	not available	4	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F6	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F4	Salmonella enterica subsp. enterica serovar typhimurium	not available	5	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F4	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F6	Salmonella enterica subsp. enterica serovar typhimurium	not available	6	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F6	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F3	Salmonella enterica subsp. enterica serovar typhimurium	not available	7	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F3	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F3	Salmonella enterica subsp. enterica serovar typhimurium	not available	8	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F3	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F2	Salmonella enterica subsp. enterica serovar typhimurium	not available	9	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F2	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F1	Salmonella enterica subsp. enterica serovar typhimurium	not available	10	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F1	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F5	Salmonella enterica subsp. enterica serovar typhimurium	not available	11	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F5	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F3	Salmonella enterica subsp. enterica serovar typhimurium	not available	12	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F3	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F4	Salmonella enterica subsp. enterica serovar typhimurium	not available	13	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F4	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F4	Salmonella enterica subsp. enterica serovar typhimurium	not available	14	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F4	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S4_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F4	Salmonella enterica subsp. enterica serovar typhimurium	not available	15	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F4	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F5	Salmonella enterica subsp. enterica serovar typhimurium	not available	16	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F5	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F2	Salmonella enterica subsp. enterica serovar typhimurium	not available	17	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F2	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F6	Salmonella enterica subsp. enterica serovar typhimurium	not available	18	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F6	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F3	Salmonella enterica subsp. enterica serovar typhimurium	not available	19	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F3	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S2_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F6	Salmonella enterica subsp. enterica serovar typhimurium	not available	20	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F6	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S3_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD079402-S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F1	Salmonella enterica subsp. enterica serovar typhimurium	not available	21	not available	not available	not available	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F1	proteomic profiling by mass spectrometry	1	S00486_Exploris02_SZ_MS_Salmonella_Typhimurium_Anti_infective_S1_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
