source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD008266-2013-05-20_BIO_G921-2	Populus tremula x populus tremuloides	Xylem	1	not available	not available	not available	2013-05-20_BIO_G921-2.raw.tgz	proteomic profiling by mass spectrometry	1	2013-05-20_BIO_G921-2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD008266-2013-05-20_BIO_G932	Populus tremula x populus tremuloides	Xylem	2	not available	not available	not available	2013-05-20_BIO_G932.raw.tgz	proteomic profiling by mass spectrometry	1	2013-05-20_BIO_G932.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD008266-2013-05-20_BIO_G933-1	Populus tremula x populus tremuloides	Xylem	3	not available	not available	not available	2013-05-20_BIO_G933-1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-05-20_BIO_G933-1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD008266-2013-05-20_BIO_G921	Populus tremula x populus tremuloides	Xylem	4	not available	not available	not available	2013-05-20_BIO_G921.raw.tgz	proteomic profiling by mass spectrometry	1	2013-05-20_BIO_G921.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD008266-2013-05-20_BIO_G913	Populus tremula x populus tremuloides	Xylem	5	not available	not available	not available	2013-05-20_BIO_G913.raw.tgz	proteomic profiling by mass spectrometry	1	2013-05-20_BIO_G913.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD008266-2013-05-20_BIO_G935	Populus tremula x populus tremuloides	Xylem	6	not available	not available	not available	2013-05-20_BIO_G935.raw.tgz	proteomic profiling by mass spectrometry	1	2013-05-20_BIO_G935.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD008266-2013-05-20_BIO_G914-2	Populus tremula x populus tremuloides	Xylem	7	not available	not available	not available	2013-05-20_BIO_G914-2.raw.tgz	proteomic profiling by mass spectrometry	1	2013-05-20_BIO_G914-2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD008266-2013-05-20_BIO_G924-1	Populus tremula x populus tremuloides	Xylem	8	not available	not available	not available	2013-05-20_BIO_G924-1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-05-20_BIO_G924-1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD008266-2013-05-31_BIO_WT19-1	Populus tremula x populus tremuloides	Xylem	9	not available	not available	not available	2013-05-31_BIO_WT19-1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_WT19-1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD008266-2013-05-31_BIO_WT19-2	Populus tremula x populus tremuloides	Xylem	10	not available	not available	not available	2013-05-31_BIO_WT19-2.raw.tgz	proteomic profiling by mass spectrometry	1	2013-05-31_BIO_WT19-2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
