source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20200623_MB_MWN_RosaRUC_1ug_10	20200623_MB_MWN_RosaRUC_1ug_10	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_11	20200623_MB_MWN_RosaRUC_1ug_11	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_12	20200623_MB_MWN_RosaRUC_1ug_12	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_13	20200623_MB_MWN_RosaRUC_1ug_13	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_14	20200623_MB_MWN_RosaRUC_1ug_14	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_14	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_15	20200623_MB_MWN_RosaRUC_1ug_15	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_15	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_16	20200623_MB_MWN_RosaRUC_1ug_16	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_16	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_17	20200623_MB_MWN_RosaRUC_1ug_17	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_17	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_18	20200623_MB_MWN_RosaRUC_1ug_18	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_18	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_21	20200623_MB_MWN_RosaRUC_1ug_21	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_21	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_22	20200623_MB_MWN_RosaRUC_1ug_22	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_22	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
