source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20200623_MB_MWN_RosaRUC_1ug_23	20200623_MB_MWN_RosaRUC_1ug_23	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_23	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_24	20200623_MB_MWN_RosaRUC_1ug_24	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_24	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_25	20200623_MB_MWN_RosaRUC_1ug_25	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_25	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_26	20200623_MB_MWN_RosaRUC_1ug_26	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_26	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200624_MB_MWN_RosaRUC_1ug_27	20200624_MB_MWN_RosaRUC_1ug_27	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200624_MB_MWN_RosaRUC_1ug_27	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200624_MB_MWN_RosaRUC_1ug_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200624_MB_MWN_RosaRUC_1ug_28	20200624_MB_MWN_RosaRUC_1ug_28	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200624_MB_MWN_RosaRUC_1ug_28	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200624_MB_MWN_RosaRUC_1ug_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200624_MB_MWN_RosaRUC_1ug_29	20200624_MB_MWN_RosaRUC_1ug_29	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200624_MB_MWN_RosaRUC_1ug_29	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200624_MB_MWN_RosaRUC_1ug_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200624_MB_MWN_RosaRUC_1ug_30	20200624_MB_MWN_RosaRUC_1ug_30	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200624_MB_MWN_RosaRUC_1ug_30	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200624_MB_MWN_RosaRUC_1ug_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200624_MB_MWN_RosaRUC_1ug_31	20200624_MB_MWN_RosaRUC_1ug_31	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200624_MB_MWN_RosaRUC_1ug_31	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200624_MB_MWN_RosaRUC_1ug_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200624_MB_MWN_RosaRUC_1ug_32	20200624_MB_MWN_RosaRUC_1ug_32	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200624_MB_MWN_RosaRUC_1ug_32	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200624_MB_MWN_RosaRUC_1ug_32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200624_MB_MWN_RosaRUC_1ug_33	20200624_MB_MWN_RosaRUC_1ug_33	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200624_MB_MWN_RosaRUC_1ug_33	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200624_MB_MWN_RosaRUC_1ug_33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200624_MB_MWN_RosaRUC_1ug_34	20200624_MB_MWN_RosaRUC_1ug_34	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200624_MB_MWN_RosaRUC_1ug_34	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200624_MB_MWN_RosaRUC_1ug_34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200624_MB_MWN_RosaRUC_1ug_35	20200624_MB_MWN_RosaRUC_1ug_35	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200624_MB_MWN_RosaRUC_1ug_35	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200624_MB_MWN_RosaRUC_1ug_35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200624_MB_MWN_RosaRUC_1ug_36	20200624_MB_MWN_RosaRUC_1ug_36	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200624_MB_MWN_RosaRUC_1ug_36	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200624_MB_MWN_RosaRUC_1ug_36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200720_MB_RosaRUC_allgen.pdResult	20200720_MB_RosaRUC_allgen.pdResult	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200720_MB_RosaRUC_allgen.pdResult	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200720_MB_RosaRUC_allgen.pdResult	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
