source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[iTRAQ plex]
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	29	1	100524_sarcoidosis_MAP_exp1_fr29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	30	1	100524_sarcoidosis_MAP_exp1_fr30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	31	1	100524_sarcoidosis_MAP_exp1_fr31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	32	1	100524_sarcoidosis_MAP_exp1_fr32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	33	1	100524_sarcoidosis_MAP_exp1_fr33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	34	1	100524_sarcoidosis_MAP_exp1_fr34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	35	1	100524_sarcoidosis_MAP_exp1_fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	36	1	100524_sarcoidosis_MAP_exp1_fr36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	37	1	100524_sarcoidosis_MAP_exp1_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	38	1	100524_sarcoidosis_MAP_exp1_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
