source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD022955-20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample16_1ug	Synechocystis sp. pcc 6803	not available	1	not available	not available	not available	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample16_1ug	proteomic profiling by mass spectrometry	1	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample16_1ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD022955-20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample3_1ug	Synechocystis sp. pcc 6803	not available	2	not available	not available	not available	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample3_1ug	proteomic profiling by mass spectrometry	1	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample3_1ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD022955-20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample10_1ug	Synechocystis sp. pcc 6803	not available	3	not available	not available	not available	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample10_1ug	proteomic profiling by mass spectrometry	1	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample10_1ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD022955-20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample2_1ug	Synechocystis sp. pcc 6803	not available	4	not available	not available	not available	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample2_1ug	proteomic profiling by mass spectrometry	1	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample2_1ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD022955-20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample15_1ug	Synechocystis sp. pcc 6803	not available	5	not available	not available	not available	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample15_1ug	proteomic profiling by mass spectrometry	1	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample15_1ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD022955-20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample1_1ug	Synechocystis sp. pcc 6803	not available	6	not available	not available	not available	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample1_1ug	proteomic profiling by mass spectrometry	1	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample1_1ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD022955-20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample11_1ug	Synechocystis sp. pcc 6803	not available	7	not available	not available	not available	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample11_1ug	proteomic profiling by mass spectrometry	1	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample11_1ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD022955-20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample6_1ug	Synechocystis sp. pcc 6803	not available	8	not available	not available	not available	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample6_1ug	proteomic profiling by mass spectrometry	1	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample6_1ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD022955-20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample12_1ug	Synechocystis sp. pcc 6803	not available	9	not available	not available	not available	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample12_1ug	proteomic profiling by mass spectrometry	1	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample12_1ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD022955-20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample7_1ug	Synechocystis sp. pcc 6803	not available	10	not available	not available	not available	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample7_1ug	proteomic profiling by mass spectrometry	1	20200727_OR16_UM7_Vollm004_EPICXS_SLema_Strap_sample7_1ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1
