source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD007958-2013-03-04_MC_16B_1	Populus tremula x populus tremuloides	Xylem	13	not available	not available	not available	2013-03-04_MC_16B_1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_16B_1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_22C_3	Populus tremula x populus tremuloides	Xylem	14	not available	not available	not available	2013-03-04_MC_22C_3.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_22C_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_04A_2	Populus tremula x populus tremuloides	Xylem	15	not available	not available	not available	2013-03-04_MC_04A_2.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_04A_2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_T89I_1	Populus tremula x populus tremuloides	Xylem	16	not available	not available	not available	2013-03-04_MC_T89I_1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_T89I_1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_16A_1	Populus tremula x populus tremuloides	Xylem	17	not available	not available	not available	2013-03-04_MC_16A_1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_16A_1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_16B_2	Populus tremula x populus tremuloides	Xylem	18	not available	not available	not available	2013-03-04_MC_16B_2.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_16B_2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_11A_3	Populus tremula x populus tremuloides	Xylem	19	not available	not available	not available	2013-03-04_MC_11A_3.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_11A_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_11C_1	Populus tremula x populus tremuloides	Xylem	20	not available	not available	not available	2013-03-04_MC_11C_1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_11C_1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_22A_3	Populus tremula x populus tremuloides	Xylem	21	not available	not available	not available	2013-03-04_MC_22A_3.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_22A_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_04B_1	Populus tremula x populus tremuloides	Xylem	22	not available	not available	not available	2013-03-04_MC_04B_1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_04B_1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
