source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted experiment series]	factor value[gefitinib treatment]	factor value[HiRIEF pH range]
A431 subcellular fractionation	Homo sapiens	cell culture	A431	1	Mattias_Subcell-Barcode_20150502_A431-7-ctrl_TMT_300ugIPG3-10_10of15ul_fr19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	19	1	Mattias_Subcell-Barcode_20150502_A431-7-ctrl_TMT_300ugIPG3-10_10of15ul_fr19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_Subcell-Barcode_20150502_A431-7-ctrl_TMT_300ugIPG3-10_10of15ul	untreated control	3-10
not available subcellular fractionation	Homo sapiens	cell culture	not available	1	MVYB_Subcell_20161012_TotalLysate_IPG3-10_7of15ul_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	15	1	MVYB_Subcell_20161012_TotalLysate_IPG3-10_7of15ul_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_20161012_TotalLysate_IPG3-10_7of15ul	not available	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul_fr03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	2	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul_fr03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul	not available	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul_fr71	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	71	1	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul_fr71.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul	untreated control	3-10
U251 subcellular fractionation	Homo sapiens	cell culture	U251	1	MVSC_HF1_20160219_SUBCELL_U251_TMT_IPG37-49_fr34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	34	1	MVSC_HF1_20160219_SUBCELL_U251_TMT_IPG37-49_fr34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVSC_HF1_20160219_SUBCELL_U251_TMT_IPG37-49	not available	3.7-4.9
not available subcellular fractionation	Homo sapiens	cell culture	not available	1	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul_fr30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	30	1	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul_fr30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul	not available	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re2-2_HF_20160904_TMT_IPG3-10_7of15ul_fr51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	51	1	MVYB_Subcell_HCC827_Re2-2_HF_20160904_TMT_IPG3-10_7of15ul_fr51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re2-2_HF_20160904_TMT_IPG3-10_7of15ul	not available	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re2-2_HF_20160904_TMT_IPG3-10_7of15ul_fr65	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	65	2	MVYB_Subcell_HCC827_Re2-2_HF_20160904_TMT_IPG3-10_7of15ul_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re2-2_HF_20160904_TMT_IPG3-10_7of15ul	not available	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re2-2_HF_20160904_TMT_IPG3-10_7of15ul_fr21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	21	1	MVYB_Subcell_HCC827_Re2-2_HF_20160904_TMT_IPG3-10_7of15ul_fr21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re2-2_HF_20160904_TMT_IPG3-10_7of15ul	not available	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	Subcell_MVYB_HCC827_ctrl_HF1_20160617_TMT_IPG37-49_fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	2	Subcell_MVYB_HCC827_ctrl_HF1_20160617_TMT_IPG37-49_fr04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_HCC827_ctrl_HF1_20160617_TMT_IPG37-49	untreated control	3.7-4.9
MCF7 subcellular fractionation	Homo sapiens	cell culture	MCF7	1	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr49_160130073631	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	3	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr49_160130073631.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul	not available	3-10
MCF7 subcellular fractionation	Homo sapiens	cell culture	MCF7	1	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr52_160130113224	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	4	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr52_160130113224.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul	not available	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul_fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	11	1	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul_fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul	gefitinib	3.7-4.9
A431 subcellular fractionation	Homo sapiens	cell culture	A431	1	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul_fr54	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	54	1	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul_fr54.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul	not available	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul_fr55	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	55	1	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul_fr55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul	gefitinib	3.7-4.9
H322 subcellular fractionation	Homo sapiens	cell culture	H322	1	Subcell_MVYB_H322_ctrl_HF1_20160616_TMT_IPG37-49_fr53	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	53	1	Subcell_MVYB_H322_ctrl_HF1_20160616_TMT_IPG37-49_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_H322_ctrl_HF1_20160616_TMT_IPG37-49	untreated control	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul_fr16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	16	1	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul_fr16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul	not available	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	Subcell_MVYB_HCC827_gef_QE1_20160607_TMT10_IPG3-10_7of15ul_fr30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	30	1	Subcell_MVYB_HCC827_gef_QE1_20160607_TMT10_IPG3-10_7of15ul_fr30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_HCC827_gef_QE1_20160607_TMT10_IPG3-10_7of15ul	gefitinib	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	Subcell_MVYB_HCC827_ctrl_HF1_20160617_TMT_IPG37-49_fr27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	27	1	Subcell_MVYB_HCC827_ctrl_HF1_20160617_TMT_IPG37-49_fr27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_HCC827_ctrl_HF1_20160617_TMT_IPG37-49	untreated control	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul_fr25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	25	2	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul_fr25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul	not available	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul_fr19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	19	1	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul_fr19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul	not available	3.7-4.9
MCF7 subcellular fractionation	Homo sapiens	cell culture	MCF7	1	Mattias_HF1_20160122_SUBCELL_MCF7_TMT_300ug_IPG37-49_fr40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	40	1	Mattias_HF1_20160122_SUBCELL_MCF7_TMT_300ug_IPG37-49_fr40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_HF1_20160122_SUBCELL_MCF7_TMT_300ug_IPG37-49	not available	3.7-4.9
U251 subcellular fractionation	Homo sapiens	cell culture	U251	1	MVSC_HF_20160226_SUBCELL_U251_TMT_IPG3-10_7of15ul_fr24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	24	1	MVSC_HF_20160226_SUBCELL_U251_TMT_IPG3-10_7of15ul_fr24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVSC_HF_20160226_SUBCELL_U251_TMT_IPG3-10_7of15ul	not available	3-10
H322 subcellular fractionation	Homo sapiens	cell culture	H322	1	Subcell_MVYB_H322Ctrl_QE1_20160518_TMT10_IPG3-10_7of15ul_fr29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	29	1	Subcell_MVYB_H322Ctrl_QE1_20160518_TMT10_IPG3-10_7of15ul_fr29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_H322Ctrl_QE1_20160518_TMT10_IPG3-10_7of15ul	untreated control	3-10
not available subcellular fractionation	Homo sapiens	cell culture	not available	1	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul_fr23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	23	1	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul_fr23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul	not available	3.7-4.9
U251 subcellular fractionation	Homo sapiens	cell culture	U251	1	MVSC_HF_20160226_SUBCELL_U251_TMT_IPG3-10_7of15ul_fr36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	36	1	MVSC_HF_20160226_SUBCELL_U251_TMT_IPG3-10_7of15ul_fr36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVSC_HF_20160226_SUBCELL_U251_TMT_IPG3-10_7of15ul	not available	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	Subcell_MVYB_HCC827_ctrl_HF1_20160617_TMT_IPG37-49_fr28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	28	1	Subcell_MVYB_HCC827_ctrl_HF1_20160617_TMT_IPG37-49_fr28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_HCC827_ctrl_HF1_20160617_TMT_IPG37-49	untreated control	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	Subcell_MVYB_HCC827_gef_QE1_20160607_TMT10_IPG3-10_7of15ul_fr37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	37	1	Subcell_MVYB_HCC827_gef_QE1_20160607_TMT10_IPG3-10_7of15ul_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_HCC827_gef_QE1_20160607_TMT10_IPG3-10_7of15ul	gefitinib	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul_fr20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20	1	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul_fr20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul	untreated control	3-10
U251 subcellular fractionation	Homo sapiens	cell culture	U251	1	MVSC_HF_20160226_SUBCELL_U251_TMT_IPG3-10_7of15ul_fr13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	13	1	MVSC_HF_20160226_SUBCELL_U251_TMT_IPG3-10_7of15ul_fr13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVSC_HF_20160226_SUBCELL_U251_TMT_IPG3-10_7of15ul	not available	3-10
not available subcellular fractionation	Homo sapiens	cell culture	not available	1	MVYB_Subcell_20161012_TotalLysate_IPG3-10_7of15ul_fr44	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	44	1	MVYB_Subcell_20161012_TotalLysate_IPG3-10_7of15ul_fr44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_20161012_TotalLysate_IPG3-10_7of15ul	not available	3-10
