source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD006487-20141014_800_O2_3	Chlamydomonas reinhardtii	Cell suspension culture	1	not available	not available	not available	20141014_800_O2_3	proteomic profiling by mass spectrometry	1	20141014_800_O2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	not applicable	label free sample	1
PXD006487-2013-12-10_800ug_C02_13F	Chlamydomonas reinhardtii	Cell suspension culture	2	not available	not available	not available	2013-12-10_800ug_C02_13F.raw.tgz	proteomic profiling by mass spectrometry	1	2013-12-10_800ug_C02_13F.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	not applicable	label free sample	1
PXD006487-2014-03-21_800ug_02_8F	Chlamydomonas reinhardtii	Cell suspension culture	3	not available	not available	not available	2014-03-21_800ug_02_8F.raw.tgz	proteomic profiling by mass spectrometry	1	2014-03-21_800ug_02_8F.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	not applicable	label free sample	1
PXD006487-2014-03-15_800ug_02_2E	Chlamydomonas reinhardtii	Cell suspension culture	4	not available	not available	not available	2014-03-15_800ug_02_2E.raw.tgz	proteomic profiling by mass spectrometry	1	2014-03-15_800ug_02_2E.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	not applicable	label free sample	1
PXD006487-2013-12-11_800ug_02_20F	Chlamydomonas reinhardtii	Cell suspension culture	5	not available	not available	not available	2013-12-11_800ug_02_20F.raw.tgz	proteomic profiling by mass spectrometry	1	2013-12-11_800ug_02_20F.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	not applicable	label free sample	1
PXD006487-2013-12-11_800ug_C02_19E	Chlamydomonas reinhardtii	Cell suspension culture	6	not available	not available	not available	2013-12-11_800ug_C02_19E.raw.tgz	proteomic profiling by mass spectrometry	1	2013-12-11_800ug_C02_19E.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	not applicable	label free sample	1
PXD006487-2013-12-11_800ug_02_20D	Chlamydomonas reinhardtii	Cell suspension culture	7	not available	not available	not available	2013-12-11_800ug_02_20D.raw.tgz	proteomic profiling by mass spectrometry	1	2013-12-11_800ug_02_20D.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	not applicable	label free sample	1
PXD006487-2014-03-15_800ug_02_2F	Chlamydomonas reinhardtii	Cell suspension culture	8	not available	not available	not available	2014-03-15_800ug_02_2F.raw.tgz	proteomic profiling by mass spectrometry	1	2014-03-15_800ug_02_2F.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	not applicable	label free sample	1
PXD006487-20141014_800_CO2_13	Chlamydomonas reinhardtii	Cell suspension culture	9	not available	not available	not available	20141014_800_CO2_13	proteomic profiling by mass spectrometry	1	20141014_800_CO2_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	not applicable	label free sample	1
PXD006487-2014-03-21_800ug_02_8E	Chlamydomonas reinhardtii	Cell suspension culture	10	not available	not available	not available	2014-03-21_800ug_02_8E.raw.tgz	proteomic profiling by mass spectrometry	1	2014-03-21_800ug_02_8E.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	not applicable	label free sample	1
PXD006487-20141014_800_O2_4	Chlamydomonas reinhardtii	Cell suspension culture	11	not available	not available	not available	20141014_800_O2_4	proteomic profiling by mass spectrometry	1	20141014_800_O2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	not applicable	label free sample	1
PXD006487-2014-03-15_800ug_C02_1D	Chlamydomonas reinhardtii	Cell suspension culture	12	not available	not available	not available	2014-03-15_800ug_C02_1D.raw.tgz	proteomic profiling by mass spectrometry	1	2014-03-15_800ug_C02_1D.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	not applicable	label free sample	1
PXD006487-20141014_800_CO2_2	Chlamydomonas reinhardtii	Cell suspension culture	13	not available	not available	not available	20141014_800_CO2_2	proteomic profiling by mass spectrometry	1	20141014_800_CO2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	not applicable	label free sample	1
