source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample material]	factor value[treatment]	factor value[tissue type]
NP1Ba	Mus musculus	Distal Colon	not applicable	10	Christine_IBDmouse_191115_L_AA32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
NP1Rs	Mus musculus	Ileum	not applicable	34	Christine_IBDmouse_191115_T_AA25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
C10s	Mus musculus	Ileum	not applicable	35	Christine_IBDmouse_191115_T_AA10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
C7b	Mus musculus	Proximal Colon	not applicable	9	Christine_IBDmouse_191115_L_AA3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
NP1Ra	Mus musculus	Distal Colon	not applicable	36	Christine_IBDmouse_191115_T_AA26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
Caco2_S16	Homo sapiens	cell culture	Caco-2	37	200529_CW_IBDCaco2_S16_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S16_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	TNFa-mix	not applicable
C13s	Mus musculus	Ileum	not applicable	38	Christine_IBDmouse_191115_T_AA19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
Caco2_S18	Homo sapiens	cell culture	Caco-2	39	200529_CW_IBDCaco2_S18_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S18_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	TNFa-mix	not applicable
C12a	Mus musculus	Distal Colon	not applicable	40	Christine_IBDmouse_191115_T_AA17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
Caco2_S17	Homo sapiens	cell culture	Caco-2	41	200529_CW_IBDCaco2_S17_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S17_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	TNFa-mix	not applicable
C9a	Mus musculus	Distal Colon	not applicable	25	Christine_IBDmouse_191115_L_AA8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
C10a	Mus musculus	Distal Colon	not applicable	22	Christine_IBDmouse_191115_L_AA11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
NP3Rb	Mus musculus	Proximal Colon	not applicable	26	Christine_IBDmouse_191115_L_AA45	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
NP1Gb	Mus musculus	Proximal Colon	not applicable	42	Christine_IBDmouse_191115_T_AA30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
NP2Bb	Mus musculus	Proximal Colon	not applicable	43	Christine_IBDmouse_191115_L_AA42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
NP1Rb	Mus musculus	Proximal Colon	not applicable	24	Christine_IBDmouse_191115_L_AA27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
Caco2_S5	Homo sapiens	cell culture	Caco-2	5	200529_CW_IBDCaco2_S5_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S5_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	Untreated	not applicable
Caco2_S18	Homo sapiens	cell culture	Caco-2	39	200529_CW_IBDCaco2_S18_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S18_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	TNFa-mix	not applicable
C7a	Mus musculus	Distal Colon	not applicable	44	Christine_IBDmouse_191115_L_AA2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
C12s	Mus musculus	Ileum	not applicable	45	Christine_IBDmouse_191115_T_AA16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
NP2Ba	Mus musculus	Distal Colon	not applicable	46	Christine_IBDmouse_191115_T_AA41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
C8s	Mus musculus	Ileum	not applicable	28	Christine_IBDmouse_191115_T_AA4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
Caco2_S15	Homo sapiens	cell culture	Caco-2	47	200529_CW_IBDCaco2_S15_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S15_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	TNFa-mix	not applicable
C13a	Mus musculus	Distal Colon	not applicable	48	Christine_IBDmouse_191115_T_AA20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
Caco2_S6	Homo sapiens	cell culture	Caco-2	49	200529_CW_IBDCaco2_S6_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S6_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	Untreated	not applicable
C14b	Mus musculus	Proximal Colon	not applicable	50	Christine_IBDmouse_191115_T_AA24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
C12a	Mus musculus	Distal Colon	not applicable	40	Christine_IBDmouse_191115_L_AA17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
NP2Ga	Mus musculus	Distal Colon	not applicable	51	Christine_IBDmouse_191115_T_AA38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
NP3Ra	Mus musculus	Distal Colon	not applicable	30	Christine_IBDmouse_191115_T_AA44	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
NP1Gb	Mus musculus	Proximal Colon	not applicable	42	Christine_IBDmouse_191115_L_AA30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
C12s	Mus musculus	Ileum	not applicable	45	Christine_IBDmouse_191115_L_AA16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
NP1Bb	Mus musculus	Proximal Colon	not applicable	16	Christine_IBDmouse_191115_L_AA33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
NP2Bb	Mus musculus	Proximal Colon	not applicable	43	Christine_IBDmouse_191115_T_AA42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
Caco2_S11	Homo sapiens	cell culture	Caco-2	14	200529_CW_IBDCaco2_S11_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S11_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	DSS	not applicable
Caco2_S4	Homo sapiens	cell culture	Caco-2	52	200529_CW_IBDCaco2_S4_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S4_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	Untreated	not applicable
NP2Gb	Mus musculus	Proximal Colon	not applicable	53	Christine_IBDmouse_191115_T_AA39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
C10b	Mus musculus	Proximal Colon	not applicable	27	Christine_IBDmouse_191115_L_AA12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
C7a	Mus musculus	Distal Colon	not applicable	44	Christine_IBDmouse_191115_T_AA2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
NP2Rs	Mus musculus	Ileum	not applicable	54	Christine_IBDmouse_191115_L_AA34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
NP2Rs	Mus musculus	Ileum	not applicable	54	Christine_IBDmouse_191115_T_AA34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
NP3Ga	Mus musculus	Distal Colon	not applicable	55	Christine_IBDmouse_191115_T_AA47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
Caco2_S7	Homo sapiens	cell culture	Caco-2	56	200529_CW_IBDCaco2_S7_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S7_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	DSS	not applicable
C14b	Mus musculus	Proximal Colon	not applicable	50	Christine_IBDmouse_191115_L_AA24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
Caco2_S2	Homo sapiens	cell culture	Caco-2	15	200529_CW_IBDCaco2_S2_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S2_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	Untreated	not applicable
C13b	Mus musculus	Proximal Colon	not applicable	57	Christine_IBDmouse_191115_T_AA21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
C9s	Mus musculus	Ileum	not applicable	13	Christine_IBDmouse_191115_L_AA7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
Caco2_S6	Homo sapiens	cell culture	Caco-2	49	200529_CW_IBDCaco2_S6_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S6_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	Untreated	not applicable
