source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]
Keap1_sample_12	Homo sapiens	cell culture	not available	3	study sample	not available	not available	20260408_HB_12_MVR_Batch1_sample12_1.raw	proteomic profiling by mass spectrometry	1	20260408_HB_12_MVR_Batch1_sample12_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
Keap1_sample_12	Homo sapiens	cell culture	not available	3	study sample	not available	not available	20260408_HB_12_MVR_Batch1_sample12_2.raw	proteomic profiling by mass spectrometry	2	20260408_HB_12_MVR_Batch1_sample12_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
Keap1_sample_12	Homo sapiens	cell culture	not available	3	study sample	not available	not available	20260408_HB_12_MVR_Batch1_sample12_3.raw	proteomic profiling by mass spectrometry	3	20260408_HB_12_MVR_Batch1_sample12_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
Keap1_sample_16	Homo sapiens	cell culture	not available	4	study sample	not available	not available	20260408_HB_16_MVR_Batch1_sample16_1.raw	proteomic profiling by mass spectrometry	1	20260408_HB_16_MVR_Batch1_sample16_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
Keap1_sample_16	Homo sapiens	cell culture	not available	4	study sample	not available	not available	20260408_HB_16_MVR_Batch1_sample16_2.raw	proteomic profiling by mass spectrometry	2	20260408_HB_16_MVR_Batch1_sample16_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
Keap1_sample_16	Homo sapiens	cell culture	not available	4	study sample	not available	not available	20260408_HB_16_MVR_Batch1_sample16_3.raw	proteomic profiling by mass spectrometry	3	20260408_HB_16_MVR_Batch1_sample16_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
Keap1_sample_7	Homo sapiens	cell culture	not available	1	study sample	not available	not available	20260408_HB_7_MVR_Batch1_sample7_1.raw	proteomic profiling by mass spectrometry	1	20260408_HB_7_MVR_Batch1_sample7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
Keap1_sample_7	Homo sapiens	cell culture	not available	1	study sample	not available	not available	20260408_HB_7_MVR_Batch1_sample7_2.raw	proteomic profiling by mass spectrometry	2	20260408_HB_7_MVR_Batch1_sample7_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
Keap1_sample_7	Homo sapiens	cell culture	not available	1	study sample	not available	not available	20260408_HB_7_MVR_Batch1_sample7_3.raw	proteomic profiling by mass spectrometry	3	20260408_HB_7_MVR_Batch1_sample7_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
Keap1_sample_8	Homo sapiens	cell culture	not available	2	study sample	not available	not available	20260408_HB_8_MVR_Batch1_sample8_1.raw	proteomic profiling by mass spectrometry	1	20260408_HB_8_MVR_Batch1_sample8_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
