source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[treatment]
PXD022008-T47DEstradioltreatment3	Homo sapiens	cell culture	1	Breast cancer	estradiol	T47D	CVCL_0553	T47D	T47DEstradioltreatment3	proteomic profiling by mass spectrometry	1	T47DEstradioltreatment3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol
PXD022008-MCF-7lysinetreatment4	Homo sapiens	cell culture	2	Breast cancer	lysine	MCF-7	CVCL_0031	MCF-7	MCF-7lysinetreatment4	proteomic profiling by mass spectrometry	1	MCF-7lysinetreatment4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	lysine
PXD022008-T47DEstradioltreatment2	Homo sapiens	cell culture	3	Breast cancer	estradiol	T47D	CVCL_0553	T47D	T47DEstradioltreatment2	proteomic profiling by mass spectrometry	1	T47DEstradioltreatment2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol
PXD022008-MCF-7Estradioltreatment5	Homo sapiens	cell culture	4	Breast cancer	estradiol	MCF-7	CVCL_0031	MCF-7	MCF-7Estradioltreatment5	proteomic profiling by mass spectrometry	1	MCF-7Estradioltreatment5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol
PXD022008-MCF-7lysinetreatment6	Homo sapiens	cell culture	5	Breast cancer	lysine	MCF-7	CVCL_0031	MCF-7	MCF-7lysinetreatment6	proteomic profiling by mass spectrometry	1	MCF-7lysinetreatment6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	lysine
PXD022008-MCF-7Controltreatment2	Homo sapiens	cell culture	6	Breast cancer	control	MCF-7	CVCL_0031	MCF-7	MCF-7Controltreatment2	proteomic profiling by mass spectrometry	1	MCF-7Controltreatment2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD022008-T47DEstradioltreatment5	Homo sapiens	cell culture	7	Breast cancer	estradiol	T47D	CVCL_0553	T47D	T47DEstradioltreatment5	proteomic profiling by mass spectrometry	1	T47DEstradioltreatment5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol
PXD022008-T47DControltreatment4	Homo sapiens	cell culture	8	Breast cancer	control	T47D	CVCL_0553	T47D	T47DControltreatment4	proteomic profiling by mass spectrometry	1	T47DControltreatment4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD022008-MCF-7Controltreatment1	Homo sapiens	cell culture	9	Breast cancer	control	MCF-7	CVCL_0031	MCF-7	MCF-7Controltreatment1	proteomic profiling by mass spectrometry	1	MCF-7Controltreatment1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD022008-T47DControltreatment5	Homo sapiens	cell culture	10	Breast cancer	control	T47D	CVCL_0553	T47D	T47DControltreatment5	proteomic profiling by mass spectrometry	1	T47DControltreatment5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD022008-T47Dlysinetreatment3	Homo sapiens	cell culture	11	Breast cancer	lysine	T47D	CVCL_0553	T47D	T47Dlysinetreatment3	proteomic profiling by mass spectrometry	1	T47Dlysinetreatment3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	lysine
PXD022008-T47Dlysinetreatment6	Homo sapiens	cell culture	12	Breast cancer	lysine	T47D	CVCL_0553	T47D	T47Dlysinetreatment6	proteomic profiling by mass spectrometry	1	T47Dlysinetreatment6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	lysine
PXD022008-MCF-7Estradiolandlysinetreatment1	Homo sapiens	cell culture	13	Breast cancer	estradiol and lysine	MCF-7	CVCL_0031	MCF-7	MCF-7Estradiolandlysinetreatment1	proteomic profiling by mass spectrometry	1	MCF-7Estradiolandlysinetreatment1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol and lysine
PXD022008-MCF-7Controltreatment3	Homo sapiens	cell culture	14	Breast cancer	control	MCF-7	CVCL_0031	MCF-7	MCF-7Controltreatment3	proteomic profiling by mass spectrometry	1	MCF-7Controltreatment3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD022008-MCF-7Estradiolandlysinetreatment4	Homo sapiens	cell culture	15	Breast cancer	estradiol and lysine	MCF-7	CVCL_0031	MCF-7	MCF-7Estradiolandlysinetreatment4	proteomic profiling by mass spectrometry	1	MCF-7Estradiolandlysinetreatment4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol and lysine
PXD022008-T47DEstradiolandlysinetreatment5	Homo sapiens	cell culture	16	Breast cancer	estradiol and lysine	T47D	CVCL_0553	T47D	T47DEstradiolandlysinetreatment5	proteomic profiling by mass spectrometry	1	T47DEstradiolandlysinetreatment5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol and lysine
PXD022008-T47DEstradioltreatment4	Homo sapiens	cell culture	17	Breast cancer	estradiol	T47D	CVCL_0553	T47D	T47DEstradioltreatment4	proteomic profiling by mass spectrometry	1	T47DEstradioltreatment4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol
PXD022008-T47Dlysinetreatment4	Homo sapiens	cell culture	18	Breast cancer	lysine	T47D	CVCL_0553	T47D	T47Dlysinetreatment4	proteomic profiling by mass spectrometry	1	T47Dlysinetreatment4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	lysine
PXD022008-MCF-7lysinetreatment1	Homo sapiens	cell culture	19	Breast cancer	lysine	MCF-7	CVCL_0031	MCF-7	MCF-7lysinetreatment1	proteomic profiling by mass spectrometry	1	MCF-7lysinetreatment1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	lysine
PXD022008-MCF-7Controltreatment5	Homo sapiens	cell culture	20	Breast cancer	control	MCF-7	CVCL_0031	MCF-7	MCF-7Controltreatment5	proteomic profiling by mass spectrometry	1	MCF-7Controltreatment5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD022008-T47Dlysinetreatment1	Homo sapiens	cell culture	21	Breast cancer	lysine	T47D	CVCL_0553	T47D	T47Dlysinetreatment1	proteomic profiling by mass spectrometry	1	T47Dlysinetreatment1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	lysine
PXD022008-MCF-7Estradiolandlysinetreatment5	Homo sapiens	cell culture	22	Breast cancer	estradiol and lysine	MCF-7	CVCL_0031	MCF-7	MCF-7Estradiolandlysinetreatment5	proteomic profiling by mass spectrometry	1	MCF-7Estradiolandlysinetreatment5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol and lysine
PXD022008-T47Dlysinetreatment5	Homo sapiens	cell culture	23	Breast cancer	lysine	T47D	CVCL_0553	T47D	T47Dlysinetreatment5	proteomic profiling by mass spectrometry	1	T47Dlysinetreatment5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	lysine
PXD022008-MCF-7Estradioltreatment3	Homo sapiens	cell culture	24	Breast cancer	estradiol	MCF-7	CVCL_0031	MCF-7	MCF-7Estradioltreatment3	proteomic profiling by mass spectrometry	1	MCF-7Estradioltreatment3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol
PXD022008-T47DEstradioltreatment1	Homo sapiens	cell culture	25	Breast cancer	estradiol	T47D	CVCL_0553	T47D	T47DEstradioltreatment1	proteomic profiling by mass spectrometry	1	T47DEstradioltreatment1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol
PXD022008-T47DEstradiolandlysinetreatment3	Homo sapiens	cell culture	26	Breast cancer	estradiol and lysine	T47D	CVCL_0553	T47D	T47DEstradiolandlysinetreatment3	proteomic profiling by mass spectrometry	1	T47DEstradiolandlysinetreatment3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol and lysine
PXD022008-T47DControltreatment2	Homo sapiens	cell culture	27	Breast cancer	control	T47D	CVCL_0553	T47D	T47DControltreatment2	proteomic profiling by mass spectrometry	1	T47DControltreatment2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD022008-MCF-7Estradiolandlysinetreatment6	Homo sapiens	cell culture	28	Breast cancer	estradiol and lysine	MCF-7	CVCL_0031	MCF-7	MCF-7Estradiolandlysinetreatment6	proteomic profiling by mass spectrometry	1	MCF-7Estradiolandlysinetreatment6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol and lysine
PXD022008-T47DControltreatment6	Homo sapiens	cell culture	29	Breast cancer	control	T47D	CVCL_0553	T47D	T47DControltreatment6	proteomic profiling by mass spectrometry	1	T47DControltreatment6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD022008-MCF-7Estradioltreatment4	Homo sapiens	cell culture	30	Breast cancer	estradiol	MCF-7	CVCL_0031	MCF-7	MCF-7Estradioltreatment4	proteomic profiling by mass spectrometry	1	MCF-7Estradioltreatment4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol
PXD022008-MCF-7lysinetreatment2	Homo sapiens	cell culture	31	Breast cancer	lysine	MCF-7	CVCL_0031	MCF-7	MCF-7lysinetreatment2	proteomic profiling by mass spectrometry	1	MCF-7lysinetreatment2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	lysine
PXD022008-MCF-7Estradiolandlysinetreatment3	Homo sapiens	cell culture	32	Breast cancer	estradiol and lysine	MCF-7	CVCL_0031	MCF-7	MCF-7Estradiolandlysinetreatment3	proteomic profiling by mass spectrometry	1	MCF-7Estradiolandlysinetreatment3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol and lysine
PXD022008-T47DEstradiolandlysinetreatment4	Homo sapiens	cell culture	33	Breast cancer	estradiol and lysine	T47D	CVCL_0553	T47D	T47DEstradiolandlysinetreatment4	proteomic profiling by mass spectrometry	1	T47DEstradiolandlysinetreatment4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol and lysine
