source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted TMT set]
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr65	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	65	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	50	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	11	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	13	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	29	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	2	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	6	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	30	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	42	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	9	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr66	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	66	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr66.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	1	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr52	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	52	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr66	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	66	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr66.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	41	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	36	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	12	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	3	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	6	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	7	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	36	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr71	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	71	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr71.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr71	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	71	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr71.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	29	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr72	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	72	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr72.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	41	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	5	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
