source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted TMT set]
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	50	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	39	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	27	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr53	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	53	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	37	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	14	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr64	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	64	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr64.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	14	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	13	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	9	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
