source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[iTRAQ plex]
melanoma lymph-node metastasis iTRAQ plex I	Homo sapiens	lymph node	melanocyte	melanoma	1	Maria_2010jun30_Melanoma-I_fr01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Maria_2010jun30_Melanoma-I_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Melanoma-I
melanoma lymph-node metastasis iTRAQ plex I	Homo sapiens	lymph node	melanocyte	melanoma	1	Maria_2010jun30_Melanoma-I_fr03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	Maria_2010jun30_Melanoma-I_fr03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Melanoma-I
melanoma lymph-node metastasis iTRAQ plex I	Homo sapiens	lymph node	melanocyte	melanoma	1	Maria_2010jun30_Melanoma-I_fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	Maria_2010jun30_Melanoma-I_fr04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Melanoma-I
melanoma lymph-node metastasis iTRAQ plex I	Homo sapiens	lymph node	melanocyte	melanoma	1	Maria_2010jun30_Melanoma-I_fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	Maria_2010jun30_Melanoma-I_fr05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Melanoma-I
melanoma lymph-node metastasis iTRAQ plex I	Homo sapiens	lymph node	melanocyte	melanoma	1	Maria_2010jun30_Melanoma-I_fr06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	6	1	Maria_2010jun30_Melanoma-I_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Melanoma-I
melanoma lymph-node metastasis iTRAQ plex I	Homo sapiens	lymph node	melanocyte	melanoma	1	Maria_2010jun30_Melanoma-I_fr07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	7	1	Maria_2010jun30_Melanoma-I_fr07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Melanoma-I
melanoma lymph-node metastasis iTRAQ plex I	Homo sapiens	lymph node	melanocyte	melanoma	1	Maria_2010jun30_Melanoma-I_fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10	1	Maria_2010jun30_Melanoma-I_fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Melanoma-I
melanoma lymph-node metastasis iTRAQ plex I	Homo sapiens	lymph node	melanocyte	melanoma	1	Maria_2010jun30_Melanoma-I_fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	11	1	Maria_2010jun30_Melanoma-I_fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Melanoma-I
melanoma lymph-node metastasis iTRAQ plex I	Homo sapiens	lymph node	melanocyte	melanoma	1	Maria_2010jun30_Melanoma-I_fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	12	1	Maria_2010jun30_Melanoma-I_fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Melanoma-I
melanoma lymph-node metastasis iTRAQ plex I	Homo sapiens	lymph node	melanocyte	melanoma	1	Maria_2010jun30_Melanoma-I_fr13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	13	1	Maria_2010jun30_Melanoma-I_fr13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Melanoma-I
melanoma lymph-node metastasis iTRAQ plex I	Homo sapiens	lymph node	melanocyte	melanoma	1	Maria_2010jun30_Melanoma-I_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	15	1	Maria_2010jun30_Melanoma-I_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Melanoma-I
melanoma lymph-node metastasis iTRAQ plex I	Homo sapiens	lymph node	melanocyte	melanoma	1	Maria_2010jun30_Melanoma-I_fr16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	16	1	Maria_2010jun30_Melanoma-I_fr16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Melanoma-I
