source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD062561-Raw_run3	Homo sapiens	not available	1	not available	not available	Raw_run3	proteomic profiling by mass spectrometry	1	Raw_run3.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	not available	label free sample	1
PXD062561-Raw_Run2	Homo sapiens	not available	2	not available	not available	Raw_Run2	proteomic profiling by mass spectrometry	1	Raw_Run2.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	not available	label free sample	1
PXD062561-Raw_Run1	Homo sapiens	not available	3	not available	not available	Raw_Run1	proteomic profiling by mass spectrometry	1	Raw_Run1.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	not available	label free sample	1
