source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[treatment]
PXD047868-FOXQ1_GUIDE3_promoter_reporter	Homo sapiens	cell culture	1	not available	FOXQ1 guide	not available	not available	FOXQ1_GUIDE3_promoter_reporter	proteomic profiling by mass spectrometry	1	FOXQ1_GUIDE3_promoter_reporter.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	FOXQ1 guide
PXD047868-No_guide_control_2_promoter_reporter	Homo sapiens	cell culture	2	not available	no guide control	not available	not available	No_guide_control_2_promoter_reporter	proteomic profiling by mass spectrometry	1	No_guide_control_2_promoter_reporter.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	no guide control
PXD047868-FOXQ1_GUIDE4_promoter_reporter	Homo sapiens	cell culture	3	not available	FOXQ1 guide	not available	not available	FOXQ1_GUIDE4_promoter_reporter	proteomic profiling by mass spectrometry	1	FOXQ1_GUIDE4_promoter_reporter.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	FOXQ1 guide
PXD047868-FOXQ1_guide_pool_promoter_reporter	Homo sapiens	cell culture	4	not available	FOXQ1 guide	not available	not available	FOXQ1_guide_pool_promoter_reporter	proteomic profiling by mass spectrometry	1	FOXQ1_guide_pool_promoter_reporter.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	FOXQ1 guide
PXD047868-FOXQ1_GUIDE2_promoter_reporter	Homo sapiens	cell culture	5	not available	FOXQ1 guide	not available	not available	FOXQ1_GUIDE2_promoter_reporter	proteomic profiling by mass spectrometry	1	FOXQ1_GUIDE2_promoter_reporter.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	FOXQ1 guide
PXD047868-No_guide_control_3_promoter_reporter	Homo sapiens	cell culture	6	not available	no guide control	not available	not available	No_guide_control_3_promoter_reporter	proteomic profiling by mass spectrometry	1	No_guide_control_3_promoter_reporter.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	no guide control
PXD047868-FOXQ1_GUIDE1_promoter_reporter	Homo sapiens	cell culture	7	not available	FOXQ1 guide	not available	not available	FOXQ1_GUIDE1_promoter_reporter	proteomic profiling by mass spectrometry	1	FOXQ1_GUIDE1_promoter_reporter.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	FOXQ1 guide
PXD047868-No_guide_control_1_promoter_reporter	Homo sapiens	cell culture	8	not available	no guide control	not available	not available	No_guide_control_1_promoter_reporter	proteomic profiling by mass spectrometry	1	No_guide_control_1_promoter_reporter.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	no guide control
