city	pride_hits	listed	annotated	blocked	in_corpus	screened	todo
Explore HT	0	7	4	0	3	0	0
Explore 3072/384	0	7	1	0	6	0	0
Target 96/48	0	7	4	0	3	0	0
Reveal	0	1	0	0	1	0	0
Unspecified	0	2	1	0	1	0	0
