city	pride_hits	pxd_count	in_corpus	screened	annotated	blocked
Copenhagen	554			0	0	0
Odense	602			0	0	0
Aarhus	117			0	0	0
Aalborg	67			0	0	0
Lyngby	57			0	0	0
Roskilde	9			0	0	0
