Product;Panel;PanelVersion;PlateID;WellID;SampleID;SampleType;Assay;UniProt;OlinkID;Ct;NPX;LOD;BelowLOD;QuantifiedValue;Unit;LODQuant;LLOQ;LQL;BelowLQL;ULOQ;AboveULOQ;SampleQC;AssayQC;MissingFreq;Normalization;SoftwareVersion;SoftwareName;AssayType;QCDeviationDetCtrl;QCDeviationIncCtrl
TARGET48;Olink Target 48 Cytokine;932010;MAIT_Alarmins1;F6;Calibrator 1;CALIBRATOR;CCL11;P51671;OID05594;1.474.607;912.855;0.51763;FALSE;5.294.221;pg/mL;0.07310;0.47467;0.47467;FALSE;2.112.040.567;FALSE;PASS;PASS;0.72727;Calibrator Normalized;2.2.1;NPX Signature;assay;0.08030;0.01077
TARGET48;Olink Target 48 Cytokine;932010;MAIT_Alarmins1;F6;Calibrator 1;CALIBRATOR;CCL13;Q99616;OID05602;1.297.456;1.205.603;333.408;FALSE;3.325.062;pg/mL;0.05415;0.05960;0.05960;FALSE;195.312.500;FALSE;PASS;PASS;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.08030;0.01077
TARGET48;Olink Target 48 Cytokine;932010;MAIT_Alarmins1;F6;Calibrator 1;CALIBRATOR;CCL19;Q99731;OID05607;1.419.141;1.172.676;287.860;FALSE;6.058.710;pg/mL;0.10674;0.95367;0.95367;FALSE;97.656.250;FALSE;PASS;PASS;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.08030;0.01077
TARGET48;Olink Target 48 Cytokine;932010;MAIT_Alarmins1;F6;Calibrator 1;CALIBRATOR;CCL2;P13500;OID05619;1.131.275;1.269.080;325.168;FALSE;22.014.305;pg/mL;0.27913;0.23842;0.27913;FALSE;390.625.002;FALSE;PASS;PASS;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.08030;0.01077
TARGET48;Olink Target 48 Cytokine;932010;MAIT_Alarmins1;F6;Calibrator 1;CALIBRATOR;CCL3;P10147;OID05611;1.456.056;942.098;343.642;FALSE;934.895;pg/mL;0.07620;0.05109;0.07620;FALSE;136.445.024;FALSE;PASS;PASS;100.000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.08030;0.01077
TARGET48;Olink Target 48 Cytokine;932010;MAIT_Alarmins1;F6;Calibrator 1;CALIBRATOR;CCL4;P13236;OID05623;1.425.492;916.143;150.980;FALSE;4.812.720;pg/mL;0.11222;0.11921;0.11921;FALSE;390.625.001;FALSE;PASS;PASS;100.000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.08030;0.01077
TARGET48;Olink Target 48 Cytokine;932010;MAIT_Alarmins1;F6;Calibrator 1;CALIBRATOR;CCL7;P80098;OID05626;1.624.369;798.098;134.973;FALSE;585.623;pg/mL;0.02799;0.11921;0.11921;FALSE;195.312.500;FALSE;PASS;PASS;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.08030;0.01077
TARGET48;Olink Target 48 Cytokine;932010;MAIT_Alarmins1;F6;Calibrator 1;CALIBRATOR;CCL8;P80075;OID05580;1.223.208;1.055.502;192.603;FALSE;1.960.669;pg/mL;0.02772;0.02980;0.02980;FALSE;195.312.500;FALSE;PASS;PASS;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.08030;0.01077
TARGET48;Olink Target 48 Cytokine;932010;MAIT_Alarmins1;F6;Calibrator 1;CALIBRATOR;CSF1;P09603;OID05622;1.276.658;1.114.345;123.693;FALSE;11.833.819;pg/mL;0.00680;0.14814;0.14814;FALSE;262.248.569;FALSE;PASS;PASS;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.08030;0.01077
TARGET48;Olink Target 48 Cytokine;932010;MAIT_Alarmins1;F6;Calibrator 1;CALIBRATOR;CSF2;P04141;OID05614;1.719.310;862.318;235.521;FALSE;484.221;pg/mL;0.03155;0.28971;0.28971;FALSE;564.864.588;FALSE;PASS;PASS;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.08030;0.01077
